Filename,Note 1 MIDI,Note 2 MIDI,Best Trill Speed
Audio 32_1.wav,56,66,1.5177065767284992
Audio 77_1.wav,66,50,1.460674157303371
Audio 16_1.wav,57,54,3.882725832012678
Audio 53_1.wav,77,62,1.4184397163120568
Audio 9_1.wav,76,66,1.1804384485666106
Audio 14_1.wav,64,77,1.3480392156862744
Audio 51_1.wav,67,72,4.045643153526971
Audio 29_1.wav,66,78,1.01123595505618
Audio 48_1.wav,52,51,4.0540540540540535
Audio 30_1.wav,78,66,1.0781671159029649
Audio 75_1.wav,50,57,4.253112033195021
Audio 34_1.wav,52,73,1.2895662368112542
Audio 71_1.wav,48,70,1.01010101010101
Audio 10_1.wav,56,74,1.2129380053908356
Audio 55_1.wav,55,54,5.684007707129095
Audio 68_1.wav,55,66,1.830443159922929
Audio 12_1.wav,52,67,1.4362657091561941
Audio 57_1.wav,49,73,0.9421265141318977
Audio 36_1.wav,71,47,0.8748317631224765
Audio 73_1.wav,64,48,0.7611241217798596
Audio 28_1.wav,66,78,0.36855036855036855
Audio 50_1.wav,66,77,1.6377649325626202
Audio 15_1.wav,66,76,2.0215633423180597
Audio 74_1.wav,50,73,1.1885895404120443
Audio 49_1.wav,51,57,3.838174273858921
Audio 76_1.wav,55,66,1.5414258188824663
Audio 33_1.wav,66,77,1.5444015444015444
Audio 8_1.wav,56,54,3.734439834024896
Audio 52_1.wav,68,78,0.8716323296354993
Audio 17_1.wav,53,46,1.6516516516516515
Audio 56_1.wav,76,65,1.910112359550562
Audio 13_1.wav,55,75,1.2786002691790042
Audio 72_1.wav,72,52,1.2567324955116697
Audio 37_1.wav,46,53,1.4705882352941175
Audio 70_1.wav,52,46,1.851851851851852
Audio 35_1.wav,55,74,1.2867647058823528
Audio 69_1.wav,55,65,1.867219917012448
Audio 54_1.wav,70,63,1.951951951951952
Audio 11_1.wav,56,50,3.590664272890485
Audio 58_1.wav,52,62,1.5177065767284992
Audio 20_1.wav,64,54,1.7307692307692306
Audio 65_1.wav,62,70,2.1235521235521237
Audio 41_1.wav,75,56,1.349072512647555
Audio 81_1.wav,46,50,2.0833333333333335
Audio 39_1.wav,49,72,1.0771992818671454
Audio 83_1.wav,73,53,1.6157989228007181
Audio 43_1.wav,47,54,2.3569023569023573
Audio 22_1.wav,77,73,3.8785834738617204
Audio 67_1.wav,76,64,2.3284313725490198
Audio 26_1.wav,50,71,1.2254901960784315
Audio 63_1.wav,72,77,5.296229802513466
Audio 4_1.wav,49,46,1.1784511784511786
Audio 47_1.wav,46,70,0.8974358974358975
Audio 45_1.wav,49,55,2.4719101123595504
Audio 78_1.wav,65,54,1.7341040462427748
Audio 6_1.wav,63,77,1.4450867052023122
Audio 19_1.wav,73,69,5.733558178752109
Audio 24_1.wav,65,50,1.3458950201884254
Audio 61_1.wav,70,47,0.8567931456548348
Audio 82_1.wav,46,54,1.6172506738544474
Audio 66_1.wav,51,58,3.757225433526012
Audio 64_1.wav,54,54,0.0
Audio 21_1.wav,64,49,1.009421265141319
Audio 3_1.wav,51,65,1.349072512647555
Audio 59_1.wav,70,50,1.2803234501347711
Audio 80_1.wav,54,53,4.720616570327554
Audio 38_1.wav,51,66,1.2056737588652482
Audio 40_1.wav,51,58,1.6516516516516517
Audio 79_1.wav,53,47,2.6960784313725488
Audio 84_1.wav,67,78,1.1029411764705883
Audio 44_1.wav,65,77,1.6157989228007181
Audio 60_1.wav,46,48,4.986522911051213
Audio 25_1.wav,50,71,1.3483146067415732
Audio 18_1.wav,47,46,1.8018018018018018
Audio 7_1.wav,71,55,2.6929982046678638
Audio 5_1.wav,66,56,1.6863406408094437
Audio 62_1.wav,51,46,1.5015015015015014
Audio 27_1.wav,51,53,5.269607843137255
Audio 46_1.wav,68,72,3.5645472061657038
