Filename,Midi 1,Name 1,Encoding 1,Midi 2,Name 2,Encoding 2,Trill speed
Audio 1.wav,74,D With octave key,10101100000001100100000,71,B Without octave key,00100000000000000000000,2.8333333333333335
Audio 2.wav,72,C Without octave key,00001000000000000000000,74,D With octave key,10101100000001100100000,3.007518796992481
Audio 3.wav,74,D With octave key,10101100000001100100000,73,C# Without octave key,00000000000000000000000,3.306613226452906
Audio 7.wav,65,F Without octave key,00101100000001000000000,72,C Without octave key,00001000000000000000000,3.6613272311212812
Audio 6.wav,72,C Without octave key,00001000000000000000000,64,E Without octave key,00101100000001100000000,3.6842105263157894
Audio 4.wav,73,C# Without octave key,00000000000000000000000,75,Eb With octave key,10101100000001100110000,3.406813627254509
Audio 5.wav,64,E Without octave key,00101100000001100000000,71,B Without octave key,00100000000000000000000,3.8947368421052633
Audio 11.wav,83,B With octave key,10100000000000000000000,87,High Eb,10000000000110000000000,2.588235294117647
Audio 10.wav,86,High D,10000000000010000000000,82,Bb With octave key (Bis key),10111000000000000000000,2.506265664160401
Audio 12.wav,89,High F (front),11001000000000000000000,86,High D,10000000000010000000000,2.3385300668151445
Audio 13.wav,87,High Eb,10000000000110000000000,89,High F (front),11001000000000000000000,2.0
Audio 17.wav,59,Low B,00101100100001100101000,88,High E,10000000000110000000100,0.667779632721202
Audio 16.wav,89,High F (front),11001000000000000000000,58,Low Bb,00101100010001100101000,0.7512520868113522
Audio 14.wav,87,High Eb,10000000000110000000000,89,High F (front),11001000000000000000000,1.8333333333333333
Audio 15.wav,58,Low Bb,00101100010001100101000,88,High E,10000000000110000000100,0.7211538461538461
Audio 18.wav,59,Low B,00101100100001100101000,89,High F (side),10000000001110000000100,0.64
Audio 24.wav,86,High D,10000000000010000000000,62,D Without octave key,00101100000001100100000,1.0434782608695652
Audio 25.wav,62,D Without octave key,00101100000001100100000,87,High Eb,10000000000110000000000,0.9581881533101045
Audio 19.wav,60,Low C,00101100000001100101000,89,High F (side),10000000001110000000100,0.7199999999999999
Audio 27.wav,63,Eb Without octave key,00101100000001100110000,87,High Eb,10000000000110000000000,0.9385665529010239
Audio 26.wav,63,Eb Without octave key,00101100000001100110000,86,High D,10000000000010000000000,1.002865329512894
Audio 22.wav,82,Bb With octave key (side key),10101000000000000000001,70,Bb Without octave key (Bis key),00111000000000000000000,1.6666666666666667
Audio 23.wav,71,B Without octave key,00100000000000000000000,82,Bb With octave key (side key),10101000000000000000001,1.6042780748663101
Audio 21.wav,70,Bb Without octave key (side key),00101000000000000000000,82,Bb With octave key (side key),10101000000000000000001,1.7894736842105263
Audio 20.wav,69,A Without octave key,00101000000000000000000,82,Bb With octave key (side key),10101000000000000000001,1.7175572519083968
Audio 8.wav,73,C# Without octave key,00000000000000000000000,65,F Without octave key,00101100000001000000000,3.8076152304609217
Audio 9.wav,73,C# Without octave key,00000000000000000000000,66,F# Without octave key (main),00101100000000100000000,3.8076152304609217
