WRITTEN_VALUE, NAME, ENCODING
58, Low Bb, 0010110001000_1100101000
59, Low B, 0010110010000_1100101000
60, Low C, 0010110000000_1100101000
61, Low C#, 0010110100000_1100101000
62, D Without octave key, 0010110000000_1100100000
63, Eb Without octave key, 0010110000000_1100110000
64, E Without octave key, 0010110000000_1100000000
65, F Without octave key, 0010110000000_1000000000
66, F# Without octave key (main), 0010110000000_01000000000
66, F# Without octave key (Chromatic), 0010110000000_10010000000
67, G Without octave key, 0010110000000_0000000000
68, G# Without octave key (default), 0010111000000_0000000000
69, A Without octave key, 0010100000000_0000000000
70, Bb Without octave key (side key), 0010100000000_00000000001
70, Bb Without octave key (Bis key), 0011100000000_00000000000
71, B Without octave key, 0010000000000_0000000000
72, C Without octave key, 0000100000000_0000000000
73, C# Without octave key, 0000000000000_0000000000
74, D With octave key, 1010110000000_1100100000
75, Eb With octave key, 1010110000000_1100110000
76, E With octave key, 1010110000000_1100000000
77, F With octave key, 1010110000000_1000000000
78, F# With octave key (main), 1010110000000_0100000000
78, F# With octave key (Chromatic), 1010110000000_1001000000
79, G With octave key, 1010110000000_00000000000
80, G# With octave key (default), 1010111000000_00000000000
81, A With octave key, 1010100000000_0000000000
82, Bb With octave key (side key), 1010100000000_0000000001
82, Bb With octave key (Bis key), 1011100000000_0000000000
83, B With octave key, 1010000000000_0000000000
84, C With octave key, 1000100000000_0000000000
85, C# With octave key, 1000000000000_0000000000
86, High D, 1000000000001_0000000000
87, High Eb, 1000000000011_0000000000
88, High E, 1000000000011_0000000100
89, High F (side), 1000000000111_0000000100
89, High F (front),1100100000000_0000000000
90, High F# (side), 1000000000111_0010000100
90, High F# (front), 1100100000000_0010000000
