Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill0_1.wav,112,74,D With octave key,1010110000000_1100100000,89,High F (front),1100100000000_0000000000,2.0539152759948656
Trill1_1.wav,5,77,F With octave key,1010110000000_1000000000,88,High E,1000000000011_0000000100,1.618705035971223
Trill2_1.wav,96,67,G Without octave key,0010110000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000001,3.1205673758865244
Trill3_1.wav,62,84,C With octave key,1000100000000_0000000000,90,High F# (front),1100100000000_0010000000,2.3553162853297445
Trill4_1.wav,98,63,Eb Without octave key,0010110000000_1100110000,79,G With octave key,1010110000000_0000000000,2.0215633423180592
Trill5_1.wav,5,78,F# With octave key (main),1010110000000_0100000000,89,High F (side),1000000000111_0000000100,2.0215633423180592
Trill6_1.wav,96,69,A Without octave key,0010100000000_0000000000,72,C Without octave key,0000100000000_0000000000,5.311973018549747
Trill7_1.wav,4,79,G With octave key,1010110000000_0000000000,89,High F (front),1100100000000_0000000000,1.689189189189189
Trill8_1.wav,136,73,C# Without octave key,0000000000000_0000000000,88,High E,1000000000011_0000000100,2.2522522522522523
Trill9_1.wav,146,59,Low B,0010110010000_1100101000,75,Eb With octave key,1010110000000_1100110000,1.7977528089887644
Trill10_1.wav,71,63,Eb Without octave key,0010110000000_1100110000,88,High E,1000000000011_0000000100,1.8884892086330933
Trill11_1.wav,112,75,Eb With octave key,1010110000000_1100110000,89,High F (front),1100100000000_0000000000,2.1348314606741576
Trill12_1.wav,96,68,G# Without octave key (default),0010111000000_0000000000,70,Bb Without octave key (Bis key),0011100000000_0000000000,5.32345013477089
Trill13_1.wav,91,65,F Without octave key,0010110000000_1000000000,72,C Without octave key,0000100000000_0000000000,2.4084778420038537
Trill14_1.wav,96,67,G Without octave key,0010110000000_0000000000,70,Bb Without octave key (Bis key),0011100000000_0000000000,5.54675118858954
Trill15_1.wav,136,72,C Without octave key,0000100000000_0000000000,88,High E,1000000000011_0000000100,1.7156862745098038
Trill16_1.wav,5,78,F# With octave key (main),1010110000000_0100000000,88,High E,1000000000011_0000000100,2.02247191011236
Trill17_1.wav,33,70,Bb Without octave key (side key),0010100000000_0000000001,89,High F (front),1100100000000_0000000000,1.6835016835016836
Trill18_1.wav,91,66,F# Without octave key (Chromatic),0010110000000_1001000000,73,C# Without octave key,0000000000000_0000000000,2.964959568733154
Trill19_1.wav,91,65,F Without octave key,0010110000000_1000000000,73,C# Without octave key,0000000000000_0000000000,2.6936026936026938
Trill20_1.wav,71,62,D Without octave key,0010110000000_1100100000,89,High F (side),1000000000111_0000000100,1.871101871101871
Trill21_1.wav,62,78,F# With octave key (Chromatic),1010110000000_1001000000,83,B With octave key,1010000000000_0000000000,3.786906290115533
Trill22_1.wav,5,78,F# With octave key (Chromatic),1010110000000_1001000000,88,High E,1000000000011_0000000100,2.2979397781299524
Trill23_1.wav,87,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,3.002450980392157
Trill24_1.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.908355795148248
Trill25_1.wav,98,63,Eb Without octave key,0010110000000_1100110000,80,G# With octave key (default),1010111000000_0000000000,1.5931372549019607
Trill26_1.wav,146,58,Low Bb,0010110001000_1100101000,75,Eb With octave key,1010110000000_1100110000,1.9607843137254901
Trill27_1.wav,98,62,D Without octave key,0010110000000_1100100000,79,G With octave key,1010110000000_0000000000,2.1829521829521825
Trill28_1.wav,4,77,F With octave key,1010110000000_1000000000,89,High F (front),1100100000000_0000000000,2.244165170556553
Trill29_1.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,4.92379835873388
Trill30_1.wav,110,76,E With octave key,1010110000000_1100000000,87,High Eb,1000000000011_0000000000,2.3284313725490198
Trill31_1.wav,62,76,E With octave key,1010110000000_1100000000,81,A With octave key,1010100000000_0000000000,3.4865293185419968
Trill32_1.wav,112,76,E With octave key,1010110000000_1100000000,90,High F# (front),1100100000000_0010000000,1.8518518518518516
Trill33_1.wav,62,78,F# With octave key (main),1010110000000_0100000000,84,C With octave key,1000100000000_0000000000,3.1197301854974704
Trill34_1.wav,87,68,G# Without octave key (default),0010111000000_0000000000,75,Eb With octave key,1010110000000_1100110000,1.8867924528301887
Trill35_1.wav,110,76,E With octave key,1010110000000_1100000000,86,High D,1000000000001_0000000000,2.4084778420038537
Trill36_1.wav,33,71,B Without octave key,0010000000000_0000000000,90,High F# (front),1100100000000_0010000000,1.3468013468013469
Trill37_1.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.0833333333333335
Trill38_1.wav,5,80,G# With octave key (default),1010111000000_0000000000,90,High F# (side),1000000000111_0010000100,1.867219917012448
Trill39_1.wav,96,68,G# Without octave key (default),0010111000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000001,3.153153153153153
Trill40_1.wav,62,77,F With octave key,1010110000000_1000000000,83,B With octave key,1010000000000_0000000000,4.17789757412399
Trill41_1.wav,12,75,Eb With octave key,1010110000000_1100110000,87,High Eb,1000000000011_0000000000,2.560646900269542
Trill42_1.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,2.0215633423180592
Trill43_1.wav,110,77,F With octave key,1010110000000_1000000000,86,High D,1000000000001_0000000000,2.4258760107816713
Trill44_1.wav,4,78,F# With octave key (Chromatic),1010110000000_1001000000,89,High F (front),1100100000000_0000000000,1.6516516516516515
Trill45_1.wav,33,70,Bb Without octave key (Bis key),0011100000000_0000000000,89,High F (front),1100100000000_0000000000,1.2285012285012284
Trill46_1.wav,4,79,G With octave key,1010110000000_0000000000,90,High F# (front),1100100000000_0010000000,1.8018018018018018
Trill47_1.wav,5,78,F# With octave key (Chromatic),1010110000000_1001000000,89,High F (side),1000000000111_0000000100,1.9490254872563721
Trill48_1.wav,110,77,F With octave key,1010110000000_1000000000,87,High Eb,1000000000011_0000000000,2.2058823529411766
Trill49_1.wav,71,62,D Without octave key,0010110000000_1100100000,88,High E,1000000000011_0000000100,2.15633423180593
Trill50_1.wav,91,66,F# Without octave key (main),0010110000000_0100000000,73,C# Without octave key,0000000000000_0000000000,2.5252525252525255
Trill51_1.wav,87,69,A Without octave key,0010100000000_0000000000,74,D With octave key,1010110000000_1100100000,2.818627450980392
Trill52_1.wav,4,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,1.6835016835016836
Trill53_1.wav,96,68,G# Without octave key (default),0010111000000_0000000000,71,B Without octave key,0010000000000_0000000000,4.046242774566474
Trill54_1.wav,5,79,G With octave key,1010110000000_0000000000,89,High F (side),1000000000111_0000000100,1.5765765765765767
