Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,4.868724757581504
-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.275712894502982
-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.5523806866027385
-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.2332060653063306
-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.571819587687571
112,74,D With octave key,1010110000000_1100100000,89,High F (front),1100100000000_0000000000,2.129555767236771
5,77,F With octave key,1010110000000_1000000000,88,High E,1000000000011_0000000100,1.4790313389578884
96,67,G Without octave key,0010110000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000000,3.1961466237349314
62,84,C With octave key,1000100000000_0000000000,90,High F# (front),1100100000000_0010000000,2.4156283609555347
98,63,Eb Without octave key,0010110000000_1100110000,79,G With octave key,1010110000000_0000000000,2.097203060995596
5,78,F# With octave key (main),1010110000000_0100000000,89,High F (side),1000000000111_0000000100,1.8818896453047245
96,69,A Without octave key,0010100000000_0000000000,72,C Without octave key,0000100000000_0000000000,5.387522529082503
4,79,G With octave key,1010110000000_0000000000,89,High F (front),1100100000000_0000000000,1.7605787329039335
136,73,C# Without octave key,0000000000000_0000000000,88,High E,1000000000011_0000000100,2.105412523948576
146,59,Low B,0010110010000_1100101000,75,Eb With octave key,1010110000000_1100110000,1.8733924969030111
71,63,Eb Without octave key,0010110000000_1100110000,88,High E,1000000000011_0000000100,2.130923084661574
112,75,Eb With octave key,1010110000000_1100110000,89,High F (front),1100100000000_0000000000,2.210472132301019
96,68,G# Without octave key (default),0010111000000_0000000000,70,Bb Without octave key (Bis key),0011100000000_0000000000,5.398545374053507
91,65,F Without octave key,0010110000000_1000000000,72,C Without octave key,0000100000000_0000000000,2.483817118509667
96,67,G Without octave key,0010110000000_0000000000,70,Bb Without octave key (Bis key),0011100000000_0000000000,5.621944939855267
136,72,C Without octave key,0000100000000_0000000000,88,High E,1000000000011_0000000100,1.569196615233988
5,78,F# With octave key (main),1010110000000_0100000000,88,High E,1000000000011_0000000100,1.8768992356907206
33,70,Bb Without octave key (side key),0010100000000_0000000000,89,High F (front),1100100000000_0000000000,1.758455631044444
91,66,F# Without octave key (Chromatic),0010110000000_1001000000,73,C# Without octave key,0000000000000_0000000000,3.0402339661359603
91,65,F Without octave key,0010110000000_1000000000,73,C# Without octave key,0000000000000_0000000000,2.7692001482402775
71,62,D Without octave key,0010110000000_1100100000,89,High F (side),1000000000111_0000000100,2.1361512047260582
62,78,F# With octave key (Chromatic),1010110000000_1001000000,83,B With octave key,1010000000000_0000000000,3.8403852901188924
5,78,F# With octave key (Chromatic),1010110000000_1001000000,88,High E,1000000000011_0000000100,2.158114104386102
87,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,3.0780906838268627
-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.983973259253682
98,63,Eb Without octave key,0010110000000_1100110000,80,G# With octave key (default),1010111000000_0000000000,1.6687771578755242
146,58,Low Bb,0010110001000_1100101000,75,Eb With octave key,1010110000000_1100110000,2.0364240016397366
