id;pitch_bigrams_values
BenWebster_ByeByeBlackbird_FINAL.sv;59,62:60,59:62,64:62,59:59,57:59,60:64,62:54,55:56,59:58,59:55,56:65,62:63,64:64,65:57,59:64,60:55,59:67,67:59,59:62,65:62,63:59,58:62,60:52,55:54,59:57,55:61,62:57,54:60,61:64,59:64,67:69,67:67,69:67,62:57,52:55,54:59,65:65,63:52,54:56,57:50,56:55,53:57,56:60,52:59,55:55,55:65,64:58,55:62,58:53,54:55,62:60,58:59,67:69,71:72,71:61,64:59,52:62,61:59,54:54,57:51,51:52,52:50,54:55,57:56,54:67,58:61,60:60,55:62,62:58,60:63,60:57,62:55,50:65,65:64,55:53,55:55,58:71,69:66,64:59,53:56,53:59,56:62,67:71,67:59,61:52,57:62,53:53,57:62,52:63,61:61,59:58,56:54,50:53,52:62,55:64,61:56,52:52,56:56,60:60,60:54,56:60,51:51,50:50,49:49,50:50,62:52,50:61,58:58,61:57,64:57,63:65,66:66,62:54,69:67,68:68,63:65,69:69,69:69,65:65,57:57,57:57,58:60,64:64,64:58,52:52,53:55,52:52,51:51,60:60,57:56,50:50,59:57,53:67,70:70,71:69,70:70,69:67,65:64,58:52,64:64,66:55,66:66,67:53,50:53,59:56,62:60,62:53,62:71,72:71,66:62,56:54,58:58,62:67,64:58,64:62,57:71,60:60,72:67,72:67,55
BenWebster_DidYouCallHerToday_FINAL.sv;68,70:67,68:68,65:61,62:61,63:63,60:65,63:60,61:64,65:62,63:66,67:60,56:58,61:65,68:65,67:59,60:60,63:63,65:62,65:68,68:70,68:67,65:58,60:63,64:57,60:65,58:60,58:63,68:65,61:56,55:61,58:56,59:55,57:59,61:56,58:55,56:61,60:70,71:63,61:62,61:56,54:61,61:58,56:56,60:60,62:65,60:60,55:68,67:65,66:58,59:61,56:67,66:66,65:65,62:58,62:63,66:61,68:54,56:59,58:67,62:57,62:62,67:63,62:60,65:60,60:62,58:62,59:56,56:63,67:70,65:54,63:54,53:51,51:59,62:63,59:63,56:56,57:55,63:60,59:71,72:71,68:68,63:61,59:68,64:66,66:65,59:65,64:64,60:55,58:70,61:64,67:68,56:63,55:62,57:55,55:62,64:64,68:67,70:70,63:65,56:56,63:63,70:63,58:58,63:65,54:53,51:51,56:60,57:57,55:56,66:67,55:59,51:51,61:56,64:72,68:71,65:68,71:70,66:68,66:64,62:63,63:68,58:70,70:71,70:65,57:57,58:59,63:59,64:58,57:61,65:56,65:67,56:58,52:52,53:53,54:53,57:57,53:53,60:60,53:53,63:66,64:60,66:66,68:61,72:72,70:70,60:61,55:55,60:60,67:57,59:64,61:56,52:52,64:62,62:58,54:65,72:72,67:67,61:62,68:68,55:72,72:72,71:68,61:68,60:58,53:53,56
BenWebster_MyIdeal_FINAL.sv;62,58:62,63:65,62:65,63:61,62:64,65:58,60:55,58:55,57:57,55:62,65:58,55:55,53:63,65:63,62:65,64:53,54:53,50:60,58:67,65:62,64:62,53:60,62:53,55:63,64:62,55:58,57:58,62:50,51:51,52:57,60:56,57:53,62:58,58:58,61:58,53:65,67:62,67:60,63:54,56:57,65:64,63:50,52:56,55:55,62:63,55:55,56:65,58:55,61:63,61:52,53:70,69:69,67:67,62:53,59:59,62:67,55:63,53:54,58:52,55:58,54:62,60:60,57:60,55:58,59:59,60:60,59:59,58:57,53:52,61:61,57:57,54:54,51:51,50:50,60:57,56:55,51:51,53:54,65:64,54:54,53:51,61:65,66:66,58:62,61:57,58:55,65:50,62:53,58:61,58:61,53:53,51:52,52:54,57:57,62:63,70:70,67:63,58:65,60:60,56:53,60:63,66:66,69:69,62:64,69:69,70:67,69:56,50:50,53:53,49:49,50:54,55:56,58:62,62:55,67:67,72:72,71:71,70:69,68:68,66:66,66:66,67:57,61:65,65:64,62:58,63:65,61:62,57:52,62:58,56:60,53
BenWebster_NightAndDay_FINAL.sv;64,62:62,59:62,64:57,59:65,62:59,62:69,69:62,57:59,57:65,66:67,65:57,62:66,62:62,62:54,57:62,65:57,57:59,61:61,59:58,60:62,61:66,65:61,64:57,56:57,64:65,64:53,54:52,53:62,58:71,69:59,64:62,60:67,66:69,71:64,57:64,64:60,67:64,66:66,57:61,62:62,67:58,55:55,57:57,55:55,56:62,66:69,66:60,60:66,69:52,54:61,61:53,57:57,54:57,58:64,63:63,62:60,62:56,65:59,59:56,57:57,52:60,61:60,58:62,69:66,64:69,67:56,55:55,54:61,57:57,67:54,53:59,53:53,65:64,52:57,69:69,62:65,67:65,55:55,64:54,62:57,71:62,56:56,64:62,55:56,59:59,52:59,60:56,58:57,65:64,67:64,65:69,65:67,62:59,68:68,69:69,57:67,61:56,66:66,56:55,65:54,52:54,50:50,52:64,61:57,53:53,52:52,51:51,50:50,49:49,52:52,55:55,62:66,61:64,69:71,72:72,71:71,70:70,67:57,60:60,64:60,57:66,66:65,57:58,52
BenWebster_WhereOrWhen_FINAL.sv;54,55:53,54:59,60:56,58:51,53:56,56:55,56:54,53:53,52:58,59:60,63:60,58:53,56:57,58:67,65:58,60:53,51:56,61:61,53:53,55:58,56:56,57:63,61:51,52:52,53:55,54:52,51:55,58:58,57:60,53:60,61:56,54:63,60:61,60:66,67:60,51:50,51:51,55:56,53:53,53:57,56:52,56:61,63:66,64:63,58:58,55:56,55:48,51:55,51:58,61:61,56:60,54:64,67:67,66:65,60:60,59:61,58:58,63:65,61:59,61:61,59:57,60:64,65:51,51:51,50:55,55:61,52:54,56:63,66:64,59:51,63:55,53:53,48:55,50:51,54:54,51:52,55:55,60:55,57:61,64:59,63:56,63:60,60:55,61:63,64:60,56:56,60:60,66:65,65:58,67:67,68:68,67:65,67:65,62:62,61:56,59:56,51:55,48:61,62:62,63:63,53:54,57:58,64:63,54:63,65:65,66:65,56:61,65:65,53:55,63:51,56:51,49:49,48
BobBerg_Angles_FINAL.sv;67,67:63,65:65,67:70,67:65,64:67,72:64,63:72,68:67,63:68,68:67,68:73,70:58,55:68,70:73,73:68,65:67,65:55,58:51,53:53,56:65,68:70,70:70,66:67,66:66,65:66,68:56,59:59,63:67,70:70,72:66,67:63,67:68,72:65,63:62,58:68,66:55,56:75,72:69,65:68,73:72,70:53,55:56,58:58,58:72,69:63,60:70,68:58,56:53,52:51,55:72,72:60,63:63,61:60,58:50,53:68,71:71,70:72,67:63,58:58,65:61,58:65,65:65,70:65,62:58,60:63,62:52,51:56,53:58,59:72,75:79,75:65,66:73,67:67,73:62,60:58,51:68,63:71,75:75,73:73,71:65,61:58,53:55,63:53,58:70,69:69,68:70,75:61,59:56,63:62,63:59,58:54,53:61,56:75,79:70,73:55,53:59,53:63,59:75,70:63,68:60,62:63,64:59,59:63,63:75,75:68,64:64,67:59,55:70,71:71,73:49,50:58,57:56,55:55,54:54,56:64,65:58,54:46,51:53,51:58,63:67,69:72,79:44,51:68,67:49,53:77,75:61,62:53,50:56,54:54,55:63,75:75,76:76,77:77,76:76,75:53,53:63,56:56,56:64,59:71,65:56,65:56,60:60,60:60,67:60,51:73,75:75,68:59,56:56,47:47,51:51,59:59,49:55,59:59,62:60,56:63,46:46,50:52,50:50,51:57,55:57,58:66,61:53,54:59,46:58,61:69,72:79,81:81,79:79,71:59,61:61,63:73,66:66,58:58,73:79,44:51,58:58,49:55,70:79,80:80,79:56,62:62,61:53,57:57,53:53,49:53,44:55,46:46,53:75,77:60,65:65,60:66,62:53,46:55,49:56,61:58,70:70,61:61,65:72,77:72,63:71,79:75,71:66,70:70,74:74,77:77,74
BobBerg_BluesForBela_FINAL.sv;67,66:63,65:68,67:70,68:66,68:71,70:65,64:64,63:65,67:61,59:66,67:66,65:67,68:68,66:63,61:62,59:59,55:68,70:70,72:59,58:72,71:67,63:63,62:58,63:69,68:72,75:68,71:70,70:72,70:70,74:70,69:67,65:63,59:56,63:62,63:73,72:67,69:74,70:65,62:65,68:75,72:70,75:75,73:51,53:59,56:55,60:60,62:67,70:63,60:65,63:55,63:59,61:70,67:69,70:75,77:79,81:75,71:75,79:65,70:73,71:61,56:56,51:53,49:49,53:53,51:51,46:46,44:67,67:68,65:68,64:64,66:72,72:66,63:54,56:51,58:58,48:56,59:62,61:71,72:70,66:65,66:60,56:68,69:66,70:69,65:62,58:53,57:57,53:70,71:55,62:58,56:59,53:53,56:59,63:68,63:71,75:81,67:69,72:77,75:73,74:74,73:72,65:70,65:74,75:53,58:58,53:44,67:64,65:72,68:63,63:61,63:60,72:71,71:63,58:58,55:63,54:56,45:45,51:48,50:50,53:53,52:52,51:51,56:61,62:56,61:61,71:71,66:72,73:66,72:63,55:55,65:58,70:75,67:69,67:67,75:77,79:81,79:79,70:56,53:53,45:45,53:53,50:50,51:44,70:63,67:62,64:64,61:58,66:65,61:56,50:50,59:53,55:55,51:56,55:55,59:75,78:78,80:80,81:79,82:82,67:81,63:55,57:53,46:46,53:53,43:43,62:59,46:46,58:58,69:70,58:48,53:57,61:61,70:65,69:69,71:71,67:71,69:66,61:61,54:56,58:58,59:61,66:71,73:70,73:74,74:65,75:72,74:74,77:77,80:80,75:71,68:59,74:72,69
BobBerg_IDidn'tKnowWhatTimeItWas_FINAL.sv;69,67:70,69:69,70:67,65:72,69:65,64:72,70:67,69:69,65:62,65:74,72:69,69:70,72:64,62:63,62:65,62:77,72:73,69:65,61:64,67:72,77:58,60:61,64:68,69:64,63:65,67:72,72:73,77:65,63:65,69:62,61:69,68:58,57:67,64:72,74:67,66:68,67:62,58:67,62:62,67:66,67:61,62:77,73:64,65:74,70:76,73:69,72:65,70:60,58:57,58:70,70:70,71:67,72:57,55:60,62:77,76:72,65:64,61:55,58:61,65:61,60:62,57:69,74:65,65:70,68:62,63:63,67:60,65:70,65:76,76:73,73:63,64:74,77:55,57:76,74:72,67:67,74:63,61:61,57:69,66:66,62:62,60:56,57:57,56:56,55:59,61:65,66:68,66:70,75:73,76:52,51:62,64:67,68:65,68:67,67:68,65:63,65:70,73:69,77:71,73:71,72:53,57:57,62:77,77:67,76:67,60:60,72:66,70:65,74:74,69:66,63:58,56:58,62:64,73:73,72:61,70:58,61:60,57:69,63:62,68:63,60:58,53:53,51:57,59:57,53:59,62:62,69:66,65:58,64:75,73:69,73:77,74:62,59:61,61:69,76:76,77:76,75:65,72:60,59:59,58:61,58:68,72:62,74:72,68:70,60:60,60:72,79:79,79:79,76:76,72:73,70:67,63:59,55:57,61:68,63:69,71:61,56:60,63:77,71:77,69:70,74:77,70:71,67:53,52:50,53:75,77:74,67:65,55:57,72:65,71:71,74:72,66:64,72:57,69:62,76:72,61:69,58:58,70:71,69:60,66:51,58:64,69:51,59:74,68:61,59:63,56:57,68:66,61:61,69:62,72:69,64:57,65:73,74:75,69:69,62:63,58:55,60:55,50:50,54:54,52:51,49:49,52:52,60:55,52:51,55:66,68:70,67:67,73:57,63:63,63:68,74:75,74:65,59:74,73:73,71:71,68:64,60:60,61:67,70:76,69:58,67:73,68:66,64:63,72:59,64:72,73:75,72:63,70:62,66:67,71:66,69:59,63:63,59:55,59:55,54:54,53:51,51:51,50:50,49:49,53:53,49:49,48:48,47:47,47:47,51:51,47:47,46:46,45:45,50:69,75:74,74:74,66:66,74:52,50:56,60:62,73:68,70:64,66:56,54:54,56:56,58:60,69:72,57:60,45:45,57:62,62:77,79:79,77:65,77:71,75:72,71:71,64:64,71:71,70
BobBerg_NatureOfTheBeast_FINAL.sv;61,58:67,67:65,64:64,63:56,63:63,65:65,67:58,56:63,61:67,66:66,65:70,69:68,73:69,68:69,65:73,71:63,67:71,69:63,62:65,61:66,68:67,70:68,67:65,66:70,68:63,63:60,62:62,63:66,61:68,65:58,53:51,46:61,62:67,69:62,59:59,56:75,75:57,53:58,63:68,66:53,60:62,60:65,70:70,66:67,68:71,70:68,68:71,75:53,55:55,58:62,58:72,70:65,63:60,65:49,54:67,65:70,67:69,66:69,67:63,66:64,65:66,67:68,69:54,56:53,52:52,51:59,61:61,63:75,77:77,75:67,71:75,70:45,51:44,51:75,45:48,53:50,51:63,60:46,44:65,62:62,65:67,63:73,70:63,68:67,64:65,65:57,52:46,53:51,49:61,57:59,54:75,71:69,75:71,68:70,75:51,55:59,63:68,71:58,54:61,56:55,60:51,53:58,57:60,56:53,58:53,49:49,53:53,51:74,75:74,70:70,65:68,72:66,70:60,53:61,60:62,67:60,70:67,62:54,49:54,50:76,77:77,76:66,71:67,73:62,61:69,70:70,71:71,72:72,71:45,46:46,45:46,48:73,72:56,57:57,70:57,59:51,59:61,66:79,74:71,67:79,81:55,59:73,74:67,60:60,58:66,64:67,72:58,65:70,60:60,67:61,67:65,69:56,55:58,61:63,58:53,44:53,48:48,55:52,59:54,61:61,59:75,57:49,50:50,53:45,75:57,55:60,57:55,51:51,50:50,48:53,50:57,61:61,65:53,63:56,53:44,74:75,74:63,74:74,72:64,72:53,54:54,63:63,53:60,61:67,53:69,53:60,68:66,63:56,51:51,67:56,54:44,70:64,70:70,72:72,76:76,70:61,64:66,66:72,79:79,80:80,79:79,70:58,49:49,57:52,46:53,45:48,74:74,73:70,73:66,46:48,50:49,49:49,51:51,54:54,54:52,54:56,64:64,61:54,53:67,77:77,79:74,71:63,69:69,71:75,79:81,79:63,79:81,70:75,47:47,51:51,58:53,59:71,73:75,73:74,67:62,64:64,67:67,75:65,60:54,57:51,51:45,45:45,57:55,67:56,62:53,56:56,60:72,58:72,61:73,63:68,75:75,63:70,63:65,68:71,74:74,76:65,75:76,75:53,57:57,60:69,72:72,73:73,73:72,74:74,69:55,54:61,68:68,53:53,68:58,70:56,58:54,51:44,45:51,48:55,44:51,45:55,50:50,57:58,60:64,69:73,44:50,59:59,51:59,50:50,55:55,48:54,52:56,61:67,61:68,63:75,61:61,75:57,69:70,45:51,57:57,49:45,49:58,55
BobBerg_NoMoe_FINAL.sv;68,67:65,64:64,63:64,65:62,63:70,68:65,63:67,65:67,66:63,65:60,62:63,67:73,70:63,62:62,65:70,65:65,62:70,70:66,68:66,65:65,66:68,70:68,65:63,61:66,64:65,67:55,60:70,73:61,58:63,64:65,70:67,70:61,63:65,68:67,68:70,69:72,73:62,60:69,70:58,55:62,61:65,61:58,56:74,73:73,74:63,68:74,75:75,73:69,67:58,54:51,50:57,58:66,67:67,62:63,58:61,57:58,60:68,66:69,68:65,69:69,74:74,70:62,58:75,74:67,69:72,70:62,55:70,72:72,75:65,73:64,66:71,70:73,75:75,71:71,73:70,74:54,53:55,58:70,66:56,57:57,53:56,62:63,66:77,75:74,72:69,65:60,59:57,60:64,67:67,63:62,59:60,57:70,64:75,72:68,72:66,63:59,60:63,60:60,61:61,62:61,60:58,57:73,62:62,70:73,77:77,70:73,76:76,73:72,68:68,64:73,72:70,71:68,69:69,71:53,52:52,51:55,57:56,55:68,63:58,69:62,68:60,58:53,51:50,53:53,57:58,62:63,69:70,58:58,66:55,62:57,55:73,71:71,69:66,62:53,54:54,56:66,69:74,77:75,77:72,71:71,67:59,56:53,50:50,48:48,47:47,55:55,52:52,64:67,64:64,57:60,64:65,65:59,63:63,70:64,70:70,63:60,60:60,55:66,61:55,63:57,56:56,58:58,61:73,68:68,73:73,66:66,73:73,65:73,64:64,73:73,63:63,73:72,74:77,72:72,77:70,77:77,69:69,73:73,69:69,72:62,67:71,72:57,72:65,72:63,55:61,59:62,64:68,68:65,55:57,59:59,61:60,56:56,53:51,52:52,55:58,63:55,56:56,60:58,45:45,51:50,55:57,63:59,62:68,75:64,59:59,58:55,68:61,56:55,54:54,51:50,49:49,68:56,63:54,58:51,55:57,61:60,63:61,53:53,58
