Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill252.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.6224188790560474
Trill253.wav,49,66,F# Without octave key (main),0010110000000_0100000000,69,A Without octave key,0010100000000_0000000000,4.004106776180698
Trill254.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,4.795918367346938
Trill255.wav,59,85,C# With octave key,1000000000000_0000000000,89,High F (side),1000000000111_0000000100,3.2911392405063293
Trill256.wav,51,64,E Without octave key,0010110000000_1100000000,89,High F (front),1100100000000_0000000000,1.8716577540106951
Trill257.wav,58,59,Low B,0010110010000_1100101000,73,C# Without octave key,0000000000000_0000000000,2.0134228187919465
Trill258.wav,52,59,Low B,0010110010000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.3189448441247003
Trill259.wav,50,77,F With octave key,1010110000000_1000000000,81,A With octave key,1010100000000_0000000000,4.43213296398892
Trill260.wav,50,77,F With octave key,1010110000000_1000000000,80,G# With octave key (default),1010111000000_0000000000,4.732824427480916
Trill261.wav,57,61,Low C#,0010110100000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.82370820668693
Trill262.wav,55,72,C Without octave key,0000100000000_0000000000,86,High D,1000000000001_0000000000,2.0044543429844097
Trill263.wav,56,60,Low C,0010110000000_1100101000,77,F With octave key,1010110000000_1000000000,2.5906735751295336
Trill264.wav,59,82,Bb With octave key (Bis key),1011100000000_0000000000,88,High E,1000000000011_0000000100,2.4312896405919666
Trill265.wav,53,70,Bb Without octave key (side key),0010100000000_0000000001,87,High Eb,1000000000011_0000000000,1.9184652278177463
Trill266.wav,52,61,Low C#,0010110100000_1100101000,80,G# With octave key (default),1010111000000_0000000000,2.236421725239617
Trill267.wav,54,65,F Without octave key,0010110000000_1000000000,89,High F (front),1100100000000_0000000000,1.7955801104972378
Trill268.wav,55,71,B Without octave key,0010000000000_0000000000,86,High D,1000000000001_0000000000,2.248677248677249
Trill269.wav,58,58,Low Bb,0010110001000_1100101000,72,C Without octave key,0000100000000_0000000000,2.1148036253776437
Trill270.wav,59,83,B With octave key,1010000000000_0000000000,89,High F (side),1000000000111_0000000100,2.1904761904761907
Trill271.wav,50,78,F# With octave key (main),1010110000000_0100000000,80,G# With octave key (default),1010111000000_0000000000,4.370179948586118
Trill272.wav,49,65,F Without octave key,0010110000000_1000000000,69,A Without octave key,0010100000000_0000000000,4.173764906303237
Trill273.wav,56,61,Low C#,0010110100000_1100101000,77,F With octave key,1010110000000_1000000000,2.0
Trill274.wav,53,70,Bb Without octave key (side key),0010100000000_0000000001,86,High D,1000000000001_0000000000,3.468208092485549
Trill275.wav,57,60,Low C,0010110000000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.5439429928741089
Trill276.wav,51,64,E Without octave key,0010110000000_1100000000,90,High F# (front),1100100000000_0010000000,2.0100502512562812
Trill277.wav,59,82,Bb With octave key (side key),1010100000000_0000000001,87,High Eb,1000000000011_0000000000,2.620967741935484
Trill278.wav,53,69,A Without octave key,0010100000000_0000000000,87,High Eb,1000000000011_0000000000,2.369077306733167
Trill279.wav,49,66,F# Without octave key (Chromatic),0010110000000_1001000000,69,A Without octave key,0010100000000_0000000000,4.847396768402154
Trill280.wav,49,62,D Without octave key,0010110000000_1100100000,66,F# Without octave key (main),0010110000000_0100000000,3.5634743875278394
Trill281.wav,49,65,F Without octave key,0010110000000_1000000000,68,G# Without octave key (default),0010111000000_0000000000,4.336283185840708
Trill282.wav,49,66,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (side key),0010100000000_0000000001,2.338129496402878
Trill283.wav,52,58,Low Bb,0010110001000_1100101000,78,F# With octave key (Chromatic),1010110000000_1001000000,2.040816326530612
Trill284.wav,59,82,Bb With octave key (side key),1010100000000_0000000001,86,High D,1000000000001_0000000000,2.923076923076923
Trill285.wav,59,84,C With octave key,1000100000000_0000000000,90,High F# (side),1000000000111_0010000100,2.264808362369338
Trill286.wav,54,66,F# Without octave key (main),0010110000000_0100000000,89,High F (front),1100100000000_0000000000,1.9736842105263157
Trill287.wav,50,78,F# With octave key (main),1010110000000_0100000000,81,A With octave key,1010100000000_0000000000,3.5331905781584583
Trill288.wav,54,67,G Without octave key,0010110000000_0000000000,90,High F# (front),1100100000000_0010000000,1.8394648829431437
Trill289.wav,54,66,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (front),1100100000000_0000000000,2.292263610315186
Trill290.wav,53,69,A Without octave key,0010100000000_0000000000,86,High D,1000000000001_0000000000,2.5612472160356345
Trill291.wav,59,85,C# With octave key,1000000000000_0000000000,90,High F# (side),1000000000111_0010000100,4.011741682974559
Trill292.wav,58,58,Low Bb,0010110001000_1100101000,73,C# Without octave key,0000000000000_0000000000,2.1303258145363406
Trill293.wav,59,84,C With octave key,1000100000000_0000000000,89,High F (side),1000000000111_0000000100,1.7241379310344829
Trill294.wav,53,70,Bb Without octave key (Bis key),0011100000000_0000000000,86,High D,1000000000001_0000000000,2.3046092184368736
Trill295.wav,59,85,C# With octave key,1000000000000_0000000000,88,High E,1000000000011_0000000100,5.456570155902004
Trill296.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.048964218455743
Trill297.wav,54,66,F# Without octave key (main),0010110000000_0100000000,90,High F# (front),1100100000000_0010000000,1.2415349887133187
Trill298.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,4.084507042253521
Trill299.wav,49,66,F# Without octave key (Chromatic),0010110000000_1001000000,70,Bb Without octave key (Bis key),0011100000000_0000000000,4.285714285714286
Trill300.wav,56,61,Low C#,0010110100000_1100101000,78,F# With octave key (main),1010110000000_0100000000,2.5889967637540456
Trill301.wav,50,81,A With octave key,1010100000000_0000000000,84,C With octave key,1000100000000_0000000000,5.959031657355679
Trill302.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.121042830540036
Trill303.wav,49,64,E Without octave key,0010110000000_1100000000,68,G# Without octave key (default),0010111000000_0000000000,4.395604395604396
