Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill0.wav,7,64,E Without octave key,0010110000000_1100000000,89,High F (side),1000000000111_0000000100,1.6546592140585297
Trill1.wav,0,82,Bb With octave key (Bis key),1011100000000_0000000000,83,B With octave key,1010000000000_0000000000,3.1991367032900464
Trill2.wav,3,59,Low B,0010110010000_1100101000,90,High F# (side),1000000000111_0010000100,1.0518298826574346
Trill3.wav,1,63,Eb Without octave key,0010110000000_1100110000,64,E Without octave key,0010110000000_1100000000,4.611961264621675
Trill4.wav,4,61,Low C#,0010110100000_1100101000,89,High F (side),1000000000111_0000000100,1.655749425556773
Trill5.wav,9,66,F# Without octave key (main),0010110000000_0100000000,89,High F (side),1000000000111_0000000100,1.471487788618096
Trill6.wav,0,80,G# With octave key (default),1010111000000_0000000000,81,A With octave key,1010100000000_0000000000,4.009547549290061
Trill7.wav,9,65,F Without octave key,0010110000000_1000000000,89,High F (side),1000000000111_0000000100,1.5891693341858733
Trill8.wav,5,59,Low B,0010110010000_1100101000,87,High Eb,1000000000011_0000000000,1.685656551379821
Trill9.wav,5,60,Low C,0010110000000_1100101000,87,High Eb,1000000000011_0000000000,1.685656551379821
Trill10.wav,1,64,E Without octave key,0010110000000_1100000000,66,F# Without octave key (main),0010110000000_0100000000,4.765807826092782
Trill11.wav,3,58,Low Bb,0010110001000_1100101000,90,High F# (side),1000000000111_0010000100,0.9826569503266076
Trill12.wav,1,66,F# Without octave key (Chromatic),0010110000000_1001000000,67,G Without octave key,0010110000000_0000000000,4.178396344398289
Trill13.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.4442367396087543
Trill14.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,4.923586211699006
Trill15.wav,4,60,Low C,0010110000000_1100101000,88,High E,1000000000011_0000000100,1.2198921788661838
Trill16.wav,9,64,E Without octave key,0010110000000_1100000000,88,High E,1000000000011_0000000100,1.1482466985443793
Trill17.wav,6,62,D Without octave key,0010110000000_1100100000,90,High F# (side),1000000000111_0010000100,1.2609451932808156
Trill18.wav,2,59,Low B,0010110010000_1100101000,88,High E,1000000000011_0000000100,1.5568613054354854
Trill19.wav,1,64,E Without octave key,0010110000000_1100000000,65,F Without octave key,0010110000000_1000000000,7.113365378020889
Trill20.wav,9,66,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (side),1000000000111_0000000100,1.4674945387449263
Trill21.wav,7,62,D Without octave key,0010110000000_1100100000,89,High F (side),1000000000111_0000000100,1.8426823870447353
