Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill515.wav,102,81,A With octave key,1010100000000_0000000000,86,High D,1000000000001_0000000000,2.6478919088680333
Trill516.wav,106,70,Bb Without octave key (Bis key),0011100000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.8033956945407181
Trill517.wav,100,74,D With octave key,1010110000000_1100100000,78,F# With octave key (main),1010110000000_0100000000,3.6502266112761492
Trill518.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.3717564234595574
Trill519.wav,106,70,Bb Without octave key (side key),0010100000000_0000000001,85,C# With octave key,1000000000000_0000000000,1.6972107873434175
Trill520.wav,101,68,G# Without octave key (default),0010111000000_0000000000,71,B Without octave key,0010000000000_0000000000,5.663620909529489
Trill521.wav,101,68,G# Without octave key (default),0010111000000_0000000000,72,C Without octave key,0000100000000_0000000000,4.5608937160120195
Trill522.wav,100,76,E With octave key,1010110000000_1100000000,80,G# With octave key (default),1010111000000_0000000000,4.509278047481895
Trill523.wav,101,80,G# With octave key (default),1010111000000_0000000000,85,C# With octave key,1000000000000_0000000000,4.414039952243799
Trill524.wav,104,81,A With octave key,1010100000000_0000000000,87,High Eb,1000000000011_0000000000,2.5557896753888714
Trill525.wav,101,69,A Without octave key,0010100000000_0000000000,73,C# Without octave key,0000000000000_0000000000,4.818610277578564
Trill526.wav,103,78,F# With octave key (main),1010110000000_0100000000,82,Bb With octave key (side key),1010100000000_0000000001,2.5995036113916687
Trill527.wav,103,77,F With octave key,1010110000000_1000000000,82,Bb With octave key (side key),1010100000000_0000000001,2.466518086354586
Trill528.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.527365902779052
Trill529.wav,102,86,High D,1000000000001_0000000000,90,High F# (front),1100100000000_0010000000,2.130193080161633
Trill530.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.024106042736936
Trill531.wav,102,82,Bb With octave key (Bis key),1011100000000_0000000000,87,High Eb,1000000000011_0000000000,1.925944714148561
Trill532.wav,102,83,B With octave key,1010000000000_0000000000,87,High Eb,1000000000011_0000000000,2.150303688507535
Trill533.wav,101,68,G# Without octave key (default),0010111000000_0000000000,73,C# Without octave key,0000000000000_0000000000,5.397742618293552
Trill534.wav,107,65,F Without octave key,0010110000000_1000000000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.701469200864345
Trill535.wav,107,66,F# Without octave key (main),0010110000000_0100000000,80,G# With octave key (default),1010111000000_0000000000,1.1606572783396065
Trill536.wav,107,64,E Without octave key,0010110000000_1100000000,78,F# With octave key (main),1010110000000_0100000000,1.7065840287503868
Trill537.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,88,High E,1000000000011_0000000100,1.349460695883721
Trill538.wav,105,72,C Without octave key,0000100000000_0000000000,85,C# With octave key,1000000000000_0000000000,2.0801328954451757
Trill539.wav,102,82,Bb With octave key (Bis key),1011100000000_0000000000,86,High D,1000000000001_0000000000,2.04310037837024
Trill540.wav,106,69,A Without octave key,0010100000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.9356346366291812
Trill541.wav,106,68,G# Without octave key (default),0010111000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.9068315643014664
Trill542.wav,106,68,G# Without octave key (default),0010111000000_0000000000,84,C With octave key,1000100000000_0000000000,1.3078128460166931
Trill543.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.4288182773669513
Trill544.wav,106,73,C# Without octave key,0000000000000_0000000000,89,High F (front),1100100000000_0000000000,1.346370779311468
Trill545.wav,106,68,G# Without octave key (default),0010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.6462185952440853
Trill546.wav,107,64,E Without octave key,0010110000000_1100000000,77,F With octave key,1010110000000_1000000000,1.6138294837776834
Trill547.wav,101,67,G Without octave key,0010110000000_0000000000,72,C Without octave key,0000100000000_0000000000,4.990957753760587
Trill548.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,5.763601572610037
Trill549.wav,100,76,E With octave key,1010110000000_1100000000,79,G With octave key,1010110000000_0000000000,4.519671514445517
Trill550.wav,105,71,B Without octave key,0010000000000_0000000000,84,C With octave key,1000100000000_0000000000,1.9068315643014664
Trill551.wav,106,67,G Without octave key,0010110000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.6073172631681703
Trill552.wav,100,78,F# With octave key (Chromatic),1010110000000_1001000000,81,A With octave key,1010100000000_0000000000,4.451829817688975
Trill553.wav,107,62,D Without octave key,0010110000000_1100100000,75,Eb With octave key,1010110000000_1100110000,1.095055206695249
