Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill515.wav,102,81,A With octave key,1010100000000_0000000000,86,High D,1000000000001_0000000000,2.8182715339377196
Trill516.wav,106,70,Bb Without octave key (Bis key),0011100000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.9164591996634954
Trill517.wav,100,74,D With octave key,1010110000000_1100100000,78,F# With octave key (main),1010110000000_0100000000,3.763584343630127
Trill518.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.3753986863188372
Trill519.wav,106,70,Bb Without octave key (side key),0010100000000_0000000001,85,C# With octave key,1000000000000_0000000000,1.7130263596700857
Trill520.wav,101,68,G# Without octave key (default),0010111000000_0000000000,71,B Without octave key,0010000000000_0000000000,5.66739183627709
Trill521.wav,101,68,G# Without octave key (default),0010111000000_0000000000,72,C Without octave key,0000100000000_0000000000,4.564664614893801
Trill522.wav,100,76,E With octave key,1010110000000_1100000000,80,G# With octave key (default),1010111000000_0000000000,4.622792163978381
Trill523.wav,101,80,G# With octave key (default),1010111000000_0000000000,85,C# With octave key,1000000000000_0000000000,4.537703769260513
Trill524.wav,104,81,A With octave key,1010100000000_0000000000,87,High Eb,1000000000011_0000000000,2.7251640012140927
Trill525.wav,101,69,A Without octave key,0010100000000_0000000000,73,C# Without octave key,0000000000000_0000000000,4.822409419538407
Trill526.wav,103,78,F# With octave key (main),1010110000000_0100000000,82,Bb With octave key (side key),1010100000000_0000000001,2.7700203842761666
Trill527.wav,103,77,F With octave key,1010110000000_1000000000,82,Bb With octave key (side key),1010100000000_0000000001,2.6370347133615786
Trill528.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.640723635586038
Trill529.wav,102,86,High D,1000000000001_0000000000,90,High F# (front),1100100000000_0010000000,2.300709864161356
Trill530.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.14477783830655
Trill531.wav,102,82,Bb With octave key (Bis key),1011100000000_0000000000,87,High Eb,1000000000011_0000000000,2.096324339282329
Trill532.wav,102,83,B With octave key,1010000000000_0000000000,87,High Eb,1000000000011_0000000000,2.320684094511345
Trill533.wav,101,68,G# Without octave key (default),0010111000000_0000000000,73,C# Without octave key,0000000000000_0000000000,5.401513479277684
Trill534.wav,107,65,F Without octave key,0010110000000_1000000000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.7051117246432475
Trill535.wav,107,66,F# Without octave key (main),0010110000000_0100000000,80,G# With octave key (default),1010111000000_0000000000,1.1642963474918337
Trill536.wav,107,64,E Without octave key,0010110000000_1100000000,78,F# With octave key (main),1010110000000_0100000000,1.7102266022019452
Trill537.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,88,High E,1000000000011_0000000100,1.518835021760152
Trill538.wav,105,72,C Without octave key,0000100000000_0000000000,85,C# With octave key,1000000000000_0000000000,2.1931157031675848
Trill539.wav,102,82,Bb With octave key (Bis key),1011100000000_0000000000,86,High D,1000000000001_0000000000,2.2134807865298534
Trill540.wav,106,69,A Without octave key,0010100000000_0000000000,85,C# With octave key,1000000000000_0000000000,2.0487279172680783
Trill541.wav,106,68,G# Without octave key (default),0010111000000_0000000000,85,C# With octave key,1000000000000_0000000000,2.0199492364426255
Trill542.wav,106,68,G# Without octave key (default),0010111000000_0000000000,84,C With octave key,1000100000000_0000000000,1.4209507671540307
Trill543.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.5911488726188603
Trill544.wav,106,73,C# Without octave key,0000000000000_0000000000,89,High F (front),1100100000000_0000000000,1.4590535547457364
Trill545.wav,106,68,G# Without octave key (default),0010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.7593866839051786
Trill546.wav,107,64,E Without octave key,0010110000000_1100000000,77,F With octave key,1010110000000_1000000000,1.6174720986095754
Trill547.wav,101,67,G Without octave key,0010110000000_0000000000,72,C Without octave key,0000100000000_0000000000,4.9947054703381815
Trill548.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,5.767258605482187
Trill549.wav,100,76,E With octave key,1010110000000_1100000000,79,G With octave key,1010110000000_0000000000,4.6331342523847745
Trill550.wav,105,71,B Without octave key,0010000000000_0000000000,84,C With octave key,1000100000000_0000000000,2.0198953386236136
Trill551.wav,106,67,G Without octave key,0010110000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.7204963268808182
Trill552.wav,100,78,F# With octave key (Chromatic),1010110000000_1001000000,81,A With octave key,1010100000000_0000000000,4.5655758260414405
Trill553.wav,107,62,D Without octave key,0010110000000_1100100000,75,Eb With octave key,1010110000000_1100110000,1.0986979219157984
Trill554.wav,107,65,F Without octave key,0010110000000_1000000000,79,G With octave key,1010110000000_0000000000,1.3844119546488434
Trill555.wav,107,66,F# Without octave key (Chromatic),0010110000000_1001000000,80,G# With octave key (default),1010111000000_0000000000,1.4751774038863812
Trill556.wav,107,66,F# Without octave key (main),0010110000000_0100000000,79,G With octave key,1010110000000_0000000000,1.5799703823691396
Trill557.wav,105,67,G Without octave key,0010110000000_0000000000,81,A With octave key,1010100000000_0000000000,1.6720467199793339
Trill558.wav,105,70,Bb Without octave key (side key),0010100000000_0000000001,84,C With octave key,1000100000000_0000000000,1.6231328615407654
Trill559.wav,100,74,D With octave key,1010110000000_1100100000,77,F With octave key,1010110000000_1000000000,5.8081019659092465
Trill560.wav,106,68,G# Without octave key (default),0010111000000_0000000000,83,B With octave key,1010000000000_0000000000,1.6749635944877934
Trill561.wav,105,71,B Without octave key,0010000000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.9600928853670905
Trill562.wav,101,67,G Without octave key,0010110000000_0000000000,71,B Without octave key,0010000000000_0000000000,6.221609967800244
Trill563.wav,107,64,E Without octave key,0010110000000_1100000000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.5108647605625691
Trill564.wav,103,78,F# With octave key (Chromatic),1010110000000_1001000000,82,Bb With octave key (side key),1010100000000_0000000001,2.0653854343937468
Trill565.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,4.501300649951468
Trill566.wav,100,75,Eb With octave key,1010110000000_1100110000,78,F# With octave key (main),1010110000000_0100000000,4.555403958716521
Trill567.wav,105,69,A Without octave key,0010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.9557660678231306
Trill568.wav,105,67,G Without octave key,0010110000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.718627574316316
Trill569.wav,100,78,F# With octave key (Chromatic),1010110000000_1001000000,80,G# With octave key (default),1010111000000_0000000000,4.20154747026312
Trill570.wav,105,69,A Without octave key,0010100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.8182137063564274
Trill571.wav,105,70,Bb Without octave key (side key),0010100000000_0000000001,83,B With octave key,1010000000000_0000000000,1.572712854845233
Trill572.wav,105,68,G# Without octave key (default),0010111000000_0000000000,81,A With octave key,1010100000000_0000000000,1.7616596674064422
Trill573.wav,107,62,D Without octave key,0010110000000_1100100000,76,E With octave key,1010110000000_1100000000,1.100206958311175
Trill574.wav,103,86,High D,1000000000001_0000000000,90,High F# (side),1000000000111_0010000100,4.735939245454938
Trill575.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,83,B With octave key,1010000000000_0000000000,1.329775345089546
Trill576.wav,105,70,Bb Without octave key (Bis key),0011100000000_0000000000,84,C With octave key,1000100000000_0000000000,1.7978101941140248
Trill578.wav,106,67,G Without octave key,0010110000000_0000000000,83,B With octave key,1010000000000_0000000000,1.6344363626537206
Trill579.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,89,High F (side),1000000000111_0000000100,1.3149856439963512
Trill710.wav,131,69,A Without octave key,0010100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,2.3293224230233536
Trill711.wav,130,74,D With octave key,1010110000000_1100100000,81,A With octave key,1010100000000_0000000000,2.3448151174919656
Trill712.wav,134,62,D Without octave key,0010110000000_1100100000,71,B Without octave key,0010000000000_0000000000,3.071163096414376
Trill713.wav,133,62,D Without octave key,0010110000000_1100100000,73,C# Without octave key,0000000000000_0000000000,3.0142587179519187
Trill714.wav,132,61,Low C#,0010110100000_1100101000,64,E Without octave key,0010110000000_1100000000,3.4642138868390284
Trill715.wav,136,79,G With octave key,1010110000000_0000000000,90,High F# (front),1100100000000_0010000000,0.9078972609659492
Trill716.wav,138,62,D Without octave key,0010110000000_1100100000,70,Bb Without octave key (Bis key),0011100000000_0000000000,3.5626563787719188
Trill717.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,3.852992068356652
Trill718.wav,142,70,Bb Without octave key (side key),0010100000000_0000000001,79,G With octave key,1010110000000_0000000000,1.986150252816727
Trill719.wav,130,74,D With octave key,1010110000000_1100100000,80,G# With octave key (default),1010111000000_0000000000,3.6305151455241873
Trill720.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.657382459139833
Trill721.wav,141,61,Low C#,0010110100000_1100101000,65,F Without octave key,0010110000000_1000000000,4.088775290345847
Trill722.wav,129,82,Bb With octave key (Bis key),1011100000000_0000000000,89,High F (front),1100100000000_0000000000,0.962417009715093
Trill723.wav,141,61,Low C#,0010110100000_1100101000,66,F# Without octave key (main),0010110000000_0100000000,3.5371038481174133
Trill724.wav,134,63,Eb Without octave key,0010110000000_1100110000,73,C# Without octave key,0000000000000_0000000000,4.044220370482097
Trill725.wav,132,59,Low B,0010110010000_1100101000,62,D Without octave key,0010110000000_1100100000,3.591805593379962
Trill726.wav,141,60,Low C,0010110000000_1100101000,64,E Without octave key,0010110000000_1100000000,3.966903275064089
Trill727.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,6.402444994845036
Trill728.wav,136,80,G# With octave key (default),1010111000000_0000000000,90,High F# (front),1100100000000_0010000000,0.6512505766247115
Trill729.wav,142,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.8485658442338262
Trill730.wav,142,71,B Without octave key,0010000000000_0000000000,81,A With octave key,1010100000000_0000000000,2.054229189551759
Trill731.wav,136,80,G# With octave key (default),1010111000000_0000000000,89,High F (front),1100100000000_0000000000,1.4616582294397669
Trill732.wav,142,69,A Without octave key,0010100000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,1.8891527406306672
Trill733.wav,139,61,Low C#,0010110100000_1100101000,62,D Without octave key,0010110000000_1100100000,4.222108623681436
Trill734.wav,131,68,G# Without octave key (default),0010111000000_0000000000,75,Eb With octave key,1010110000000_1100110000,1.9191813894317842
