Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Audio 3_1.wav,27,63,Eb Without octave key,0010110000000_1100110000,77,F With octave key,1010110000000_1000000000,1.349072512647555
Audio 4_1.wav,-1,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000,1.1784511784511786
Audio 5_1.wav,114,68,G# Without octave key (default),0010111000000_0000000000,78,F# With octave key (main),1010110000000_0100000000,1.6863406408094437
Audio 6_1.wav,134,75,Eb With octave key,1010110000000_1100110000,89,High F (front),1100100000000_0000000000,1.4450867052023122
Audio 7_1.wav,103,79,G With octave key,1010110000000_0000000000,83,B With octave key,1010000000000_0000000000,2.7827648114901256
Audio 8_1.wav,29,66,F# Without octave key (Chromatic),0010110000000_1001000000,68,G# Without octave key (default),0010111000000_0000000000,3.734439834024896
Audio 9_1.wav,43,78,F# With octave key (Chromatic),1010110000000_1001000000,88,High E,1000000000011_0000000100,1.1804384485666106
Audio 10_1.wav,111,68,G# Without octave key (default),0010111000000_0000000000,86,High D,1000000000001_0000000000,1.2129380053908356
Audio 11_1.wav,53,62,D Without octave key,0010110000000_1100100000,68,G# Without octave key (default),0010111000000_0000000000,3.590664272890485
Audio 12_1.wav,27,64,E Without octave key,0010110000000_1100000000,79,G With octave key,1010110000000_0000000000,1.4362657091561941
Audio 13_1.wav,111,67,G Without octave key,0010110000000_0000000000,87,High Eb,1000000000011_0000000000,1.2786002691790042
Audio 14_1.wav,134,76,E With octave key,1010110000000_1100000000,90,High F# (front),1100100000000_0010000000,1.3480392156862744
Audio 15_1.wav,43,78,F# With octave key (main),1010110000000_0100000000,88,High E,1000000000011_0000000100,2.0215633423180597
