Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Audio 3_1.wav,27,63,Eb Without octave key,0010110000000_1100110000,77,F With octave key,1010110000000_1000000000,1.349072512647555
Audio 4_1.wav,-1,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000,1.1784511784511786
Audio 5_1.wav,114,68,G# Without octave key (default),0010111000000_0000000000,78,F# With octave key (main),1010110000000_0100000000,1.6863406408094437
Audio 6_1.wav,134,75,Eb With octave key,1010110000000_1100110000,89,High F (front),1100100000000_0000000000,1.4450867052023122
Audio 7_1.wav,103,79,G With octave key,1010110000000_0000000000,83,B With octave key,1010000000000_0000000000,2.7827648114901256
Audio 8_1.wav,29,66,F# Without octave key (Chromatic),0010110000000_1001000000,68,G# Without octave key (default),0010111000000_0000000000,3.734439834024896
Audio 9_1.wav,43,78,F# With octave key (Chromatic),1010110000000_1001000000,88,High E,1000000000011_0000000100,1.1804384485666106
Audio 10_1.wav,111,68,G# Without octave key (default),0010111000000_0000000000,86,High D,1000000000001_0000000000,1.2129380053908356
Audio 11_1.wav,53,62,D Without octave key,0010110000000_1100100000,68,G# Without octave key (default),0010111000000_0000000000,3.590664272890485
Audio 12_1.wav,27,64,E Without octave key,0010110000000_1100000000,79,G With octave key,1010110000000_0000000000,1.4362657091561941
Audio 13_1.wav,111,67,G Without octave key,0010110000000_0000000000,87,High Eb,1000000000011_0000000000,1.2786002691790042
Audio 14_1.wav,134,76,E With octave key,1010110000000_1100000000,90,High F# (front),1100100000000_0010000000,1.3480392156862744
Audio 15_1.wav,43,78,F# With octave key (main),1010110000000_0100000000,88,High E,1000000000011_0000000100,2.0215633423180597
Audio 16_1.wav,29,66,F# Without octave key (Chromatic),0010110000000_1001000000,69,A Without octave key,0010100000000_0000000000,3.882725832012678
Audio 17_1.wav,53,58,Low Bb,0010110001000_1100101000,65,F Without octave key,0010110000000_1000000000,1.6516516516516515
Audio 18_1.wav,-1,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000,1.8018018018018018
Audio 19_1.wav,103,81,A With octave key,1010100000000_0000000000,85,C# With octave key,1000000000000_0000000000,5.733558178752109
Audio 20_1.wav,114,66,F# Without octave key (main),0010110000000_0100000000,76,E With octave key,1010110000000_1100000000,1.7307692307692306
Audio 21_1.wav,27,61,Low C#,0010110100000_1100101000,76,E With octave key,1010110000000_1100000000,1.1440107671601616
Audio 22_1.wav,103,85,C# With octave key,1000000000000_0000000000,89,High F (front),1100100000000_0000000000,3.8785834738617204
Audio 24_1.wav,27,62,D Without octave key,0010110000000_1100100000,77,F With octave key,1010110000000_1000000000,1.3458950201884254
Audio 26_1.wav,109,62,D Without octave key,0010110000000_1100100000,83,B With octave key,1010000000000_0000000000,1.2254901960784315
Audio 27_1.wav,29,63,Eb Without octave key,0010110000000_1100110000,65,F Without octave key,0010110000000_1000000000,5.269607843137255
Audio 29_1.wav,43,78,F# With octave key (main),1010110000000_0100000000,90,High F# (side),1000000000111_0010000100,1.01123595505618
Audio 32_1.wav,114,68,G# Without octave key (default),0010111000000_0000000000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.5177065767284992
Audio 33_1.wav,43,78,F# With octave key (main),1010110000000_0100000000,89,High F (side),1000000000111_0000000100,1.5444015444015444
Audio 34_1.wav,109,64,E Without octave key,0010110000000_1100000000,85,C# With octave key,1000000000000_0000000000,1.2895662368112542
Audio 35_1.wav,111,67,G Without octave key,0010110000000_0000000000,86,High D,1000000000001_0000000000,1.4075887392900857
Audio 36_1.wav,140,59,Low B,0010110010000_1100101000,83,B With octave key,1010000000000_0000000000,0.8748317631224765
Audio 37_1.wav,-1,58,Low Bb,0010110001000_1100101000,65,F Without octave key,0010110000000_1000000000,1.4705882352941175
Audio 38_1.wav,27,63,Eb Without octave key,0010110000000_1100110000,78,F# With octave key (main),1010110000000_0100000000,1.2056737588652482
Audio 39_1.wav,140,61,Low C#,0010110100000_1100101000,84,C With octave key,1000100000000_0000000000,1.0771992818671454
Audio 40_1.wav,53,63,Eb Without octave key,0010110000000_1100110000,70,Bb Without octave key (side key),0010100000000_0000000000,1.6516516516516517
Audio 41_1.wav,111,68,G# Without octave key (default),0010111000000_0000000000,87,High Eb,1000000000011_0000000000,1.349072512647555
Audio 43_1.wav,53,59,Low B,0010110010000_1100101000,66,F# Without octave key (main),0010110000000_0100000000,2.3569023569023573
Audio 44_1.wav,43,77,F With octave key,1010110000000_1000000000,89,High F (side),1000000000111_0000000100,1.6157989228007181
Audio 45_1.wav,53,61,Low C#,0010110100000_1100101000,67,G Without octave key,0010110000000_0000000000,2.584269662921349
Audio 46_1.wav,103,80,G# With octave key (default),1010111000000_0000000000,84,C With octave key,1000100000000_0000000000,3.5645472061657038
Audio 47_1.wav,140,58,Low Bb,0010110001000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000,0.8974358974358975
Audio 48_1.wav,29,63,Eb Without octave key,0010110000000_1100110000,64,E Without octave key,0010110000000_1100000000,4.28921568627451
Audio 49_1.wav,53,63,Eb Without octave key,0010110000000_1100110000,69,A Without octave key,0010100000000_0000000000,3.838174273858921
