Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill64.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.636591478696742
Trill65.wav,13,76,E With octave key,1010110000000_1100000000,78,F# With octave key (main),1010110000000_0100000000,4.428571428571429
Trill66.wav,22,63,Eb Without octave key,0010110000000_1100110000,87,High Eb,1000000000011_0000000000,2.1303258145363406
Trill67.wav,24,75,Eb With octave key,1010110000000_1100110000,90,High F# (side),1000000000111_0010000100,1.2893982808022921
Trill68.wav,13,78,F# With octave key (main),1010110000000_0100000000,78,F# With octave key (Chromatic),1010110000000_1001000000,0.0
Trill69.wav,21,59,Low B,0010110010000_1100101000,85,C# With octave key,1000000000000_0000000000,1.7421602787456447
Trill70.wav,13,77,F With octave key,1010110000000_1000000000,79,G With octave key,1010110000000_0000000000,6.260869565217391
Trill71.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.7804154302670625
Trill72.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,3.1986531986531985
Trill73.wav,13,76,E With octave key,1010110000000_1100000000,77,F With octave key,1010110000000_1000000000,6.140350877192983
Trill74.wav,12,73,C# Without octave key,0000000000000_0000000000,77,F With octave key,1010110000000_1000000000,3.9094650205761323
Trill75.wav,13,78,F# With octave key (main),1010110000000_0100000000,79,G With octave key,1010110000000_0000000000,6.648451730418944
Trill76.wav,23,60,Low C,0010110000000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,2.1538461538461537
Trill77.wav,16,70,Bb Without octave key (Bis key),0011100000000_0000000000,89,High F (side),1000000000111_0000000100,1.9287833827893177
Trill78.wav,13,74,D With octave key,1010110000000_1100100000,75,Eb With octave key,1010110000000_1100110000,6.207674943566592
Trill79.wav,20,73,C# Without octave key,0000000000000_0000000000,90,High F# (side),1000000000111_0010000100,2.0
Trill80.wav,16,70,Bb Without octave key (side key),0010100000000_0000000001,88,High E,1000000000011_0000000100,2.0050125313283207
Trill81.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,5.157894736842105
Trill82.wav,22,62,D Without octave key,0010110000000_1100100000,86,High D,1000000000001_0000000000,1.8461538461538463
Trill83.wav,13,78,F# With octave key (Chromatic),1010110000000_1001000000,79,G With octave key,1010110000000_0000000000,6.0
Trill84.wav,19,76,E With octave key,1010110000000_1100000000,90,High F# (side),1000000000111_0010000100,1.4754098360655739
Trill85.wav,15,59,Low B,0010110010000_1100101000,59,Low B,0010110010000_1100101000,1.9607843137254903
Trill86.wav,20,73,C# Without octave key,0000000000000_0000000000,89,High F (side),1000000000111_0000000100,1.6544117647058825
Trill87.wav,21,58,Low Bb,0010110001000_1100101000,85,C# With octave key,1000000000000_0000000000,1.5050167224080266
Trill88.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,4.266666666666667
Trill89.wav,17,69,A Without octave key,0010100000000_0000000000,89,High F (side),1000000000111_0000000100,1.8309859154929577
Trill90.wav,17,70,Bb Without octave key (side key),0010100000000_0000000001,90,High F# (side),1000000000111_0010000100,1.3595166163141996
Trill91.wav,13,74,D With octave key,1010110000000_1100100000,76,E With octave key,1010110000000_1100000000,5.2
Trill92.wav,16,69,A Without octave key,0010100000000_0000000000,88,High E,1000000000011_0000000100,1.8823529411764706
Trill93.wav,16,70,Bb Without octave key (Bis key),0011100000000_0000000000,88,High E,1000000000011_0000000100,2.0547945205479454
Trill94.wav,17,69,A Without octave key,0010100000000_0000000000,90,High F# (side),1000000000111_0010000100,1.928374655647383
Trill95.wav,23,61,Low C#,0010110100000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,1.8950437317784252
Trill96.wav,13,77,F With octave key,1010110000000_1000000000,78,F# With octave key (Chromatic),1010110000000_1001000000,6.0
Trill97.wav,15,58,Low Bb,0010110001000_1100101000,89,High F (front),1100100000000_0000000000,1.4836795252225519
Trill98.wav,20,73,C# Without octave key,0000000000000_0000000000,88,High E,1000000000011_0000000100,2.1311475409836067
Trill99.wav,16,70,Bb Without octave key (side key),0010100000000_0000000001,89,High F (side),1000000000111_0000000100,2.005730659025788
Trill100.wav,13,75,Eb With octave key,1010110000000_1100110000,76,E With octave key,1010110000000_1100000000,4.156479217603912
Trill101.wav,22,62,D Without octave key,0010110000000_1100100000,87,High Eb,1000000000011_0000000000,1.9292604501607717
Trill102.wav,18,60,Low C,0010110000000_1100101000,86,High D,1000000000001_0000000000,2.202643171806167
Trill103.wav,12,73,C# Without octave key,0000000000000_0000000000,76,E With octave key,1010110000000_1100000000,4.010025062656641
Trill104.wav,25,61,Low C#,0010110100000_1100101000,90,High F# (front),1100100000000_0010000000,1.5679442508710804
Trill105.wav,13,77,F With octave key,1010110000000_1000000000,78,F# With octave key (main),1010110000000_0100000000,4.235294117647059
Trill106.wav,18,61,Low C#,0010110100000_1100101000,87,High Eb,1000000000011_0000000000,1.7955801104972375
Trill107.wav,14,59,Low B,0010110010000_1100101000,90,High F# (front),1100100000000_0010000000,1.10803324099723
Trill108.wav,20,72,C Without octave key,0000100000000_0000000000,89,High F (side),1000000000111_0000000100,2.044025157232704
Trill109.wav,19,74,D With octave key,1010110000000_1100100000,88,High E,1000000000011_0000000100,2.2435897435897436
Trill110.wav,21,58,Low Bb,0010110001000_1100101000,84,C With octave key,1000100000000_0000000000,1.6791044776119401
Trill111.wav,13,76,E With octave key,1010110000000_1100000000,78,F# With octave key (Chromatic),1010110000000_1001000000,3.0351437699680512
