Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,Trill Speed
Trill637.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.7894736842105265
Trill643.wav,126,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000,0.7619047619047619
Trill644.wav,120,85,C# With octave key,1000000000000_0000000000,87,High Eb,1000000000011_0000000000,6.410256410256411
Trill645.wav,124,73,C# Without octave key,0000000000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,2.1739130434782608
Trill646.wav,118,78,F# With octave key (Chromatic),1010110000000_1001000000,84,C With octave key,1000100000000_0000000000,3.160270880361174
Trill647.wav,128,82,Bb With octave key (side key),1010100000000_0000000001,85,C# With octave key,1000000000000_0000000000,5.4607508532423195
Trill648.wav,125,63,Eb Without octave key,0010110000000_1100110000,74,D With octave key,1010110000000_1100100000,1.1428571428571428
Trill649.wav,118,77,F With octave key,1010110000000_1000000000,84,C With octave key,1000100000000_0000000000,3.897550111358574
Trill650.wav,128,82,Bb With octave key (side key),1010100000000_0000000001,84,C With octave key,1000100000000_0000000000,5.012531328320802
Trill651.wav,127,65,F Without octave key,0010110000000_1000000000,74,D With octave key,1010110000000_1100100000,1.4672686230248309
Trill652.wav,119,87,High Eb,1000000000011_0000000000,90,High F# (front),1100100000000_0010000000,1.580135440180587
Trill653.wav,125,66,F# Without octave key (main),0010110000000_0100000000,76,E With octave key,1010110000000_1100000000,1.5801354401805874
Trill654.wav,128,79,G With octave key,1010110000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001,3.7333333333333334
Trill655.wav,124,71,B Without octave key,0010000000000_0000000000,80,G# With octave key (default),1010111000000_0000000000,2.0
Trill656.wav,125,64,E Without octave key,0010110000000_1100000000,74,D With octave key,1010110000000_1100100000,1.5294117647058822
Trill657.wav,122,61,Low C#,0010110100000_1100101000,71,B Without octave key,0010000000000_0000000000,2.2813688212927756
