Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill515.wav,102,81,A With octave key,1010100000000_0000000000,86,High D,1000000000001_0000000000,2.6387620874218154
Trill516.wav,106,70,Bb Without octave key (Bis key),0011100000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.7942658730945
Trill517.wav,100,74,D With octave key,1010110000000_1100100000,78,F# With octave key (main),1010110000000_0100000000,3.6410967898299313
Trill518.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.3694966839324376
Trill519.wav,106,70,Bb Without octave key (side key),0010100000000_0000000001,85,C# With octave key,1000000000000_0000000000,1.6880809658971994
Trill520.wav,101,68,G# Without octave key (default),0010111000000_0000000000,71,B Without octave key,0010000000000_0000000000,5.661361170002369
Trill521.wav,101,68,G# Without octave key (default),0010111000000_0000000000,72,C Without octave key,0000100000000_0000000000,4.5586339764848995
Trill522.wav,100,76,E With octave key,1010110000000_1100000000,80,G# With octave key (default),1010111000000_0000000000,4.500148226035677
Trill523.wav,101,80,G# With octave key (default),1010111000000_0000000000,85,C# With octave key,1000000000000_0000000000,4.404910130797581
Trill524.wav,104,81,A With octave key,1010100000000_0000000000,87,High Eb,1000000000011_0000000000,2.5466598539426535
Trill525.wav,101,69,A Without octave key,0010100000000_0000000000,73,C# Without octave key,0000000000000_0000000000,4.816350538051444
Trill526.wav,103,78,F# With octave key (main),1010110000000_0100000000,82,Bb With octave key (side key),1010100000000_0000000001,2.590373789945451
Trill527.wav,103,77,F With octave key,1010110000000_1000000000,82,Bb With octave key (side key),1010100000000_0000000001,2.457388264908368
Trill528.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.518236081332834
Trill529.wav,102,86,High D,1000000000001_0000000000,90,High F# (front),1100100000000_0010000000,2.1210632587154152
Trill530.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.014976221290718
Trill531.wav,102,82,Bb With octave key (Bis key),1011100000000_0000000000,87,High Eb,1000000000011_0000000000,1.916814892702343
Trill532.wav,102,83,B With octave key,1010000000000_0000000000,87,High Eb,1000000000011_0000000000,2.141173867061317
Trill533.wav,101,68,G# Without octave key (default),0010111000000_0000000000,73,C# Without octave key,0000000000000_0000000000,5.395482878766432
Trill534.wav,107,65,F Without octave key,0010110000000_1000000000,78,F# With octave key (Chromatic),1010110000000_1001000000,1.6992094613372253
Trill535.wav,107,66,F# Without octave key (main),0010110000000_0100000000,80,G# With octave key (default),1010111000000_0000000000,1.158397538812486
Trill536.wav,107,64,E Without octave key,0010110000000_1100000000,78,F# With octave key (main),1010110000000_0100000000,1.704324289223267
Trill537.wav,104,82,Bb With octave key (side key),1010100000000_0000000001,88,High E,1000000000011_0000000100,1.3403308744375029
Trill538.wav,105,72,C Without octave key,0000100000000_0000000000,85,C# With octave key,1000000000000_0000000000,2.0710030739989578
Trill539.wav,102,82,Bb With octave key (Bis key),1011100000000_0000000000,86,High D,1000000000001_0000000000,2.033970556924022
Trill540.wav,106,69,A Without octave key,0010100000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.9265048151829631
Trill541.wav,106,68,G# Without octave key (default),0010111000000_0000000000,85,C# With octave key,1000000000000_0000000000,1.8977017428552483
Trill542.wav,106,68,G# Without octave key (default),0010111000000_0000000000,84,C With octave key,1000100000000_0000000000,1.298683024570475
Trill543.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.4196884559207334
Trill544.wav,106,73,C# Without octave key,0000000000000_0000000000,89,High F (front),1100100000000_0000000000,1.33724095786525
Trill545.wav,106,68,G# Without octave key (default),0010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.6370887737978672
Trill546.wav,107,64,E Without octave key,0010110000000_1100000000,77,F With octave key,1010110000000_1000000000,1.6115697442505637
Trill547.wav,101,67,G Without octave key,0010110000000_0000000000,72,C Without octave key,0000100000000_0000000000,4.988698014233467
Trill548.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,5.761341833082917
Trill549.wav,100,76,E With octave key,1010110000000_1100000000,79,G With octave key,1010110000000_0000000000,4.510541692999299
Trill550.wav,105,71,B Without octave key,0010000000000_0000000000,84,C With octave key,1000100000000_0000000000,1.8977017428552483
Trill551.wav,106,67,G Without octave key,0010110000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.5981874417219522
Trill552.wav,100,78,F# With octave key (Chromatic),1010110000000_1001000000,81,A With octave key,1010100000000_0000000000,4.442699996242757
Trill553.wav,107,62,D Without octave key,0010110000000_1100100000,75,Eb With octave key,1010110000000_1100110000,1.0927954671681293
Trill554.wav,107,65,F Without octave key,0010110000000_1000000000,79,G With octave key,1010110000000_0000000000,1.378509752882415
Trill555.wav,107,66,F# Without octave key (Chromatic),0010110000000_1001000000,80,G# With octave key (default),1010111000000_0000000000,1.4692753408855705
Trill556.wav,107,66,F# Without octave key (main),0010110000000_0100000000,79,G With octave key,1010110000000_0000000000,1.5740682547054181
