Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill0.wav,7,64,E Without octave key,0010110000000_1100000000,89,High F (side),1000000000111_0000000100,2.2057550878264047
Trill1.wav,0,82,Bb With octave key (Bis key),1011100000000_0000000000,83,B With octave key,1010000000000_0000000000,3.1930936263203713
Trill2.wav,3,59,Low B,0010110010000_1100101000,90,High F# (side),1000000000111_0010000100,1.3970952016103546
Trill3.wav,1,63,Eb Without octave key,0010110000000_1100110000,64,E Without octave key,0010110000000_1100000000,4.587997809281094
Trill4.wav,4,61,Low C#,0010110100000_1100101000,89,High F (side),1000000000111_0000000100,2.0010154847754706
Trill5.wav,9,66,F# Without octave key (main),0010110000000_0100000000,89,High F (side),1000000000111_0000000100,2.0795946166370745
Trill6.wav,0,80,G# With octave key (default),1010111000000_0000000000,81,A With octave key,1010100000000_0000000000,3.9961511679594586
Trill7.wav,9,65,F Without octave key,0010110000000_1000000000,89,High F (side),1000000000111_0000000100,2.187038884013303
Trill8.wav,5,59,Low B,0010110010000_1100101000,87,High Eb,1000000000011_0000000000,2.0307069564931117
Trill9.wav,5,60,Low C,0010110000000_1100101000,87,High Eb,1000000000011_0000000000,2.0307069564931117
Trill10.wav,1,64,E Without octave key,0010110000000_1100000000,66,F# Without octave key (main),0010110000000_0100000000,4.741847224126876
Trill11.wav,3,58,Low Bb,0010110001000_1100101000,90,High F# (side),1000000000111_0010000100,1.3279222692795276
Trill12.wav,1,66,F# Without octave key (Chromatic),0010110000000_1001000000,67,G Without octave key,0010110000000_0000000000,4.15444348245904
Trill13.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.420263627337741
Trill14.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,4.899638598701542
Trill15.wav,4,60,Low C,0010110000000_1100101000,88,High E,1000000000011_0000000100,1.565157497819104
Trill16.wav,9,64,E Without octave key,0010110000000_1100000000,88,High E,1000000000011_0000000100,1.6993425723122542
Trill17.wav,6,62,D Without octave key,0010110000000_1100100000,90,High F# (side),1000000000111_0010000100,1.6875615462465252
Trill18.wav,2,59,Low B,0010110010000_1100101000,88,High E,1000000000011_0000000100,1.9021266243884054
Trill19.wav,1,64,E Without octave key,0010110000000_1100000000,65,F Without octave key,0010110000000_1000000000,7.089404775991934
Trill20.wav,9,66,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (side),1000000000111_0000000100,2.0476486176517192
Trill21.wav,7,62,D Without octave key,0010110000000_1100100000,89,High F (side),1000000000111_0000000100,2.269298740010445
Trill22.wav,9,66,F# Without octave key (main),0010110000000_0100000000,88,High E,1000000000011_0000000100,2.69497923202169
Trill23.wav,9,67,G Without octave key,0010110000000_0000000000,90,High F# (side),1000000000111_0010000100,2.3636070247451304
Trill24.wav,6,63,Eb Without octave key,0010110000000_1100110000,90,High F# (side),1000000000111_0010000100,2.141320137409307
Trill25.wav,9,65,F Without octave key,0010110000000_1000000000,88,High E,1000000000011_0000000100,2.4460999983375755
Trill26.wav,5,59,Low B,0010110010000_1100101000,86,High D,1000000000001_0000000000,2.212470796946069
Trill27.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,2.4851733383087744
Trill28.wav,8,58,Low Bb,0010110001000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,1.9281254881345569
Trill29.wav,1,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (main),0010110000000_0100000000,3.6649281292077154
Trill30.wav,2,60,Low C,0010110000000_1100101000,89,High F (side),1000000000111_0000000100,2.1592948182991356
Trill31.wav,4,61,Low C#,0010110100000_1100101000,88,High E,1000000000011_0000000100,2.2127716001460436
Trill32.wav,3,60,Low C,0010110000000_1100101000,90,High F# (side),1000000000111_0010000100,1.7304667985416142
Trill33.wav,10,66,F# Without octave key (Chromatic),0010110000000_1001000000,90,High F# (side),1000000000111_0010000100,1.9161660651165349
Trill34.wav,1,62,D Without octave key,0010110000000_1100100000,64,E Without octave key,0010110000000_1100000000,4.613960735343076
Trill35.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,4.741286050480875
Trill36.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.0369185043230056
Trill37.wav,11,67,G Without octave key,0010110000000_0000000000,88,High E,1000000000011_0000000100,2.717147207217558
Trill38.wav,7,65,F Without octave key,0010110000000_1000000000,90,High F# (side),1000000000111_0010000100,1.7727817190276922
Trill39.wav,2,59,Low B,0010110010000_1100101000,89,High F (side),1000000000111_0000000100,1.8782684611687466
Trill40.wav,2,58,Low Bb,0010110001000_1100101000,88,High E,1000000000011_0000000100,1.8415342735667732
Trill41.wav,1,62,D Without octave key,0010110000000_1100100000,63,Eb Without octave key,0010110000000_1100110000,4.654884771864068
Trill42.wav,1,69,A Without octave key,0010100000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000001,7.4624157419528245
Trill43.wav,0,83,B With octave key,1010000000000_0000000000,84,C With octave key,1000100000000_0000000000,4.008264158135247
Trill44.wav,8,59,Low B,0010110010000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,1.941585085308042
Trill45.wav,1,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (Chromatic),0010110000000_1001000000,6.906927006661649
Trill46.wav,1,66,F# Without octave key (main),0010110000000_0100000000,67,G Without octave key,0010110000000_0000000000,4.56580115428371
Trill47.wav,7,63,Eb Without octave key,0010110000000_1100110000,88,High E,1000000000011_0000000100,2.1942835674219165
Trill48.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,3.859831181505989
Trill49.wav,2,58,Low Bb,0010110001000_1100101000,89,High F (side),1000000000111_0000000100,1.899605658354221
Trill50.wav,9,66,F# Without octave key (main),0010110000000_0100000000,90,High F# (side),1000000000111_0010000100,2.071483937261687
Trill51.wav,11,67,G Without octave key,0010110000000_0000000000,89,High F (side),1000000000111_0000000100,2.1636605332489567
Trill52.wav,3,61,Low C#,0010110100000_1100101000,90,High F# (side),1000000000111_0010000100,1.7607100005434606
Trill53.wav,0,80,G# With octave key (default),1010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,4.925346199552486
Trill54.wav,11,68,G# Without octave key (default),0010111000000_0000000000,88,High E,1000000000011_0000000100,2.5414336917878195
Trill55.wav,9,66,F# Without octave key (Chromatic),0010110000000_1001000000,88,High E,1000000000011_0000000100,2.3695178746745595
Trill56.wav,5,58,Low Bb,0010110001000_1100101000,86,High D,1000000000001_0000000000,2.066529781439836
Trill57.wav,11,68,G# Without octave key (default),0010111000000_0000000000,89,High F (side),1000000000111_0000000100,2.1800308076859864
Trill58.wav,1,65,F Without octave key,0010110000000_1000000000,67,G Without octave key,0010110000000_0000000000,5.416746511924552
Trill59.wav,7,63,Eb Without octave key,0010110000000_1100110000,89,High F (side),1000000000111_0000000100,2.107480462270188
Trill60.wav,11,68,G# Without octave key (default),0010111000000_0000000000,90,High F# (side),1000000000111_0010000100,2.3844483983223945
Trill61.wav,7,64,E Without octave key,0010110000000_1100000000,90,High F# (side),1000000000111_0010000100,1.694059244506738
Trill62.wav,7,62,D Without octave key,0010110000000_1100100000,88,High E,1000000000011_0000000100,2.2522674285994664
Trill63.wav,5,58,Low Bb,0010110001000_1100101000,87,High Eb,1000000000011_0000000000,1.9210608773813833
Trill782.wav,144,68,G# Without octave key (default),0010111000000_0000000000,77,F With octave key,1010110000000_1000000000,3.291004975685757
Trill783.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,8.230749383709453
Trill784.wav,143,71,B Without octave key,0010000000000_0000000000,77,F With octave key,1010110000000_1000000000,3.9607051225577137
Trill785.wav,145,66,F# Without octave key (main),0010110000000_0100000000,73,C# Without octave key,0000000000000_0000000000,5.697791474362121
Trill786.wav,147,62,D Without octave key,0010110000000_1100100000,69,A Without octave key,0010100000000_0000000000,5.15342416680773
Trill787.wav,147,63,Eb Without octave key,0010110000000_1100110000,69,A Without octave key,0010100000000_0000000000,4.960322342325291
Trill788.wav,145,73,C# Without octave key,0000000000000_0000000000,73,C# Without octave key,0000000000000_0000000000,5.594053894785219
Trill789.wav,145,65,F Without octave key,0010110000000_1000000000,73,C# Without octave key,0000000000000_0000000000,5.632740480603669
Trill790.wav,145,66,F# Without octave key (Chromatic),0010110000000_1001000000,73,C# Without octave key,0000000000000_0000000000,5.678826728974542
Trill791.wav,143,72,C Without octave key,0000100000000_0000000000,77,F With octave key,1010110000000_1000000000,4.877587594485391
Trill792.wav,144,69,A Without octave key,0010100000000_0000000000,78,F# With octave key (main),1010110000000_0100000000,3.498785486011283
Trill793.wav,143,70,Bb Without octave key (side key),0010100000000_0000000001,76,E With octave key,1010110000000_1100000000,1.2627814905242079
Trill794.wav,147,62,D Without octave key,0010110000000_1100100000,68,G# Without octave key (default),0010111000000_0000000000,4.952290249970743
Trill795.wav,147,63,Eb Without octave key,0010110000000_1100110000,70,Bb Without octave key (Bis key),0011100000000_0000000000,5.297997242367978
Trill796.wav,143,71,B Without octave key,0010000000000_0000000000,76,E With octave key,1010110000000_1100000000,3.8725379074115525
