Filename,Cluster,Midi 1 (transposed as written for TS),Fingering 1 Name,Fingering 1 Encoding,Midi 2 (transposed as written for TS),Fingering 2 Name,Fingering 2 Encoding,(Normalised) Trill Speed
Trill0.wav,7,64,E Without octave key,0010110000000_1100000000,89,High F (side),1000000000111_0000000100,2.084855568213058
Trill1.wav,0,82,Bb With octave key (Bis key),1011100000000_0000000000,83,B With octave key,1010000000000_0000000000,3.5389509131565946
Trill2.wav,3,59,Low B,0010110010000_1100101000,90,High F# (side),1000000000111_0010000100,1.3695013356724415
Trill3.wav,1,63,Eb Without octave key,0010110000000_1100110000,64,E Without octave key,0010110000000_1100000000,4.99251284941186
Trill4.wav,4,61,Low C#,0010110100000_1100101000,89,High F (side),1000000000111_0000000100,1.9734212646923222
Trill5.wav,9,66,F# Without octave key (main),0010110000000_0100000000,89,High F (side),1000000000111_0000000100,1.9311071086294498
Trill6.wav,0,80,G# With octave key (default),1010111000000_0000000000,81,A With octave key,1010100000000_0000000000,4.366077683192026
Trill7.wav,9,65,F Without octave key,0010110000000_1000000000,89,High F (side),1000000000111_0000000100,2.0444299687589518
Trill8.wav,5,59,Low B,0010110010000_1100101000,87,High Eb,1000000000011_0000000000,2.0033646203794286
Trill9.wav,5,60,Low C,0010110000000_1100101000,87,High Eb,1000000000011_0000000000,2.0033646203794286
Trill10.wav,1,64,E Without soctave key,0010110000000_1100000000,66,F# Without octave key (main),0010110000000_0100000000,5.14635288403947
Trill11.wav,3,58,Low Bb,0010110001000_1100101000,90,High F# (side),1000000000111_0010000100,1.3003284033416143
Trill12.wav,1,66,F# Without octave key (Chromatic),0010110000000_1001000000,67,G Without octave key,0010110000000_0000000000,4.558923694995564
Trill13.wav,-1,62,D Without octave key,0010110000000_1100100000,74,D With octave key,1010110000000_1100100000,1.8248180214558982
Trill14.wav,-1,67,G Without octave key,0010110000000_0000000000,68,G# Without octave key (default),0010111000000_0000000000,5.304101679517524
Trill15.wav,4,60,Low C,0010110000000_1100101000,88,High E,1000000000011_0000000100,1.5375636318811907
Trill16.wav,9,64,E Without octave key,0010110000000_1100000000,88,High E,1000000000011_0000000100,1.5784430526989075
Trill17.wav,6,62,D Without octave key,0010110000000_1100100000,90,High F# (side),1000000000111_0010000100,1.6210491162619
Trill18.wav,2,59,Low B,0010110010000_1100101000,88,High E,1000000000011_0000000100,1.874532758450492
Trill19.wav,1,64,E Without octave key,0010110000000_1100000000,65,F Without octave key,0010110000000_1000000000,7.4939104359583295
Trill20.wav,9,66,F# Without octave key (Chromatic),0010110000000_1001000000,89,High F (side),1000000000111_0000000100,1.9114532558032233
Trill21.wav,7,62,D Without octave key,0010110000000_1100100000,89,High F (side),1000000000111_0000000100,2.20278631002582
Trill22.wav,9,66,F# Without octave key (main),0010110000000_0100000000,88,High E,1000000000011_0000000100,2.546491724014065
Trill23.wav,9,67,G Without octave key,0010110000000_0000000000,90,High F# (side),1000000000111_0010000100,2.2101653031278286
Trill24.wav,6,63,Eb Without octave key,0010110000000_1100110000,90,High F# (side),1000000000111_0010000100,2.0687738337961568
Trill25.wav,9,65,F Without octave key,0010110000000_1000000000,88,High E,1000000000011_0000000100,2.303491083083224
Trill26.wav,5,59,Low B,0010110010000_1100101000,86,High D,1000000000001_0000000000,2.185184110644462
Trill27.wav,-1,60,Low C,0010110000000_1100101000,65,F Without octave key,0010110000000_1000000000,2.889696058379525
Trill28.wav,8,58,Low Bb,0010110001000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,1.9025153952499545
Trill29.wav,1,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (main),0010110000000_0100000000,4.069422333301015
Trill30.wav,2,60,Low C,0010110000000_1100101000,89,High F (side),1000000000111_0000000100,2.1317009523612223
Trill31.wav,4,61,Low C#,0010110100000_1100101000,88,High E,1000000000011_0000000100,2.1851773800628953
Trill32.wav,3,60,Low C,0010110000000_1100101000,90,High F# (side),1000000000111_0010000100,1.7028729326037009
Trill33.wav,10,66,F# Without octave key (Chromatic),0010110000000_1001000000,90,High F# (side),1000000000111_0010000100,1.779970703268039
Trill34.wav,1,62,D Without octave key,0010110000000_1100100000,64,E Without octave key,0010110000000_1100000000,5.0184834553360504
Trill35.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.144994211800342
Trill36.wav,-1,81,A With octave key,1010100000000_0000000000,88,High E,1000000000011_0000000100,2.051559770447509
Trill37.wav,11,67,G Without octave key,0010110000000_0000000000,88,High E,1000000000011_0000000100,2.5620426171796686
Trill38.wav,7,65,F Without octave key,0010110000000_1000000000,90,High F# (side),1000000000111_0010000100,1.6437961460441388
Trill39.wav,2,59,Low B,0010110010000_1100101000,89,High F (side),1000000000111_0000000100,1.8506745952308332
Trill40.wav,2,58,Low Bb,0010110001000_1100101000,88,High E,1000000000011_0000000100,1.8139404076288599
Trill41.wav,1,62,D Without octave key,0010110000000_1100100000,63,Eb Without octave key,0010110000000_1100110000,5.059407491857224
Trill42.wav,1,69,A Without octave key,0010100000000_0000000000,70,Bb Without octave key (side key),0010100000000_0000000001,7.487469049526107
Trill43.wav,0,83,B With octave key,1010000000000_0000000000,84,C With octave key,1000100000000_0000000000,4.343497898039419
Trill44.wav,8,59,Low B,0010110010000_1100101000,82,Bb With octave key (side key),1010100000000_0000000001,1.9159749924234393
Trill45.wav,1,65,F Without octave key,0010110000000_1000000000,66,F# Without octave key (Chromatic),0010110000000_1001000000,7.311421210442509
Trill46.wav,1,66,F# Without octave key (main),0010110000000_0100000000,67,G Without octave key,0010110000000_0000000000,4.970281366354184
Trill47.wav,7,63,Eb Without octave key,0010110000000_1100110000,88,High E,1000000000011_0000000100,2.121737263808767
Trill48.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.21494320739981
Trill49.wav,2,58,Low Bb,0010110001000_1100101000,89,High F (side),1000000000111_0000000100,1.8720117924163078
Trill50.wav,9,66,F# Without octave key (main),0010110000000_0100000000,90,High F# (side),1000000000111_0010000100,1.935288575413191
Trill51.wav,11,67,G Without octave key,0010110000000_0000000000,89,High F (side),1000000000111_0000000100,2.0085559432110673
Trill52.wav,3,61,Low C#,0010110100000_1100101000,90,High F# (side),1000000000111_0010000100,1.7331157804603126
Trill53.wav,0,80,G# With octave key (default),1010111000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,5.288442575815828
Trill54.wav,11,68,G# Without octave key (default),0010111000000_0000000000,88,High E,1000000000011_0000000100,2.3824609809356674
Trill55.wav,9,66,F# Without octave key (Chromatic),0010110000000_1001000000,88,High E,1000000000011_0000000100,2.2333225128260636
Trill56.wav,5,58,Low Bb,0010110001000_1100101000,86,High D,1000000000001_0000000000,2.039243095138229
Trill57.wav,11,68,G# Without octave key (default),0010111000000_0000000000,89,High F (side),1000000000111_0000000100,2.021058096833834
Trill58.wav,1,65,F Without octave key,0010110000000_1000000000,67,G Without octave key,0010110000000_0000000000,5.821240715625244
Trill59.wav,7,63,Eb Without octave key,0010110000000_1100110000,89,High F (side),1000000000111_0000000100,2.034934158657038
Trill60.wav,11,68,G# Without octave key (default),0010111000000_0000000000,90,High F# (side),1000000000111_0010000100,2.2272005584493666
Trill61.wav,7,64,E Without octave key,0010110000000_1100000000,90,High F# (side),1000000000111_0010000100,1.614977392179726
Trill62.wav,7,62,D Without octave key,0010110000000_1100100000,88,High E,1000000000011_0000000100,2.1857549986148412
Trill63.wav,5,58,Low Bb,0010110001000_1100101000,87,High Eb,1000000000011_0000000000,1.8937185412677007
Trill185.wav,39,81,A With octave key,1010100000000_0000000000,82,Bb With octave key (Bis key),1011100000000_0000000000,5.206512687848206
Trill186.wav,44,63,Eb Without octave key,0010110000000_1100110000,82,Bb With octave key (side key),1010100000000_0000000001,1.5948586850897903
Trill187.wav,42,60,Low C,0010110000000_1100101000,79,G With octave key,1010110000000_0000000000,1.5394279471670327
Trill188.wav,-1,79,G With octave key,1010110000000_0000000000,84,C With octave key,1000100000000_0000000000,4.400127144616861
Trill189.wav,46,63,Eb Without octave key,0010110000000_1100110000,90,High F# (front),1100100000000_0010000000,1.09173990078652
Trill190.wav,43,58,Low Bb,0010110001000_1100101000,81,A With octave key,1010100000000_0000000000,1.24274076966862
Trill191.wav,38,88,High E,1000000000011_0000000100,89,High F (side),1000000000111_0000000100,4.5423944105890355
Trill192.wav,43,59,Low B,0010110010000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.0679691244889373
Trill193.wav,34,80,G# With octave key (default),1010111000000_0000000000,90,High F# (side),1000000000111_0010000100,1.1994486388369188
Trill194.wav,47,70,Bb Without octave key (side key),0010100000000_0000000001,82,Bb With octave key (side key),1010100000000_0000000001,2.470976188290418
Trill195.wav,42,58,Low Bb,0010110001000_1100101000,77,F With octave key,1010110000000_1000000000,1.8823157043664547
Trill196.wav,43,60,Low C,0010110000000_1100101000,82,Bb With octave key (Bis key),1011100000000_0000000000,1.8314454721237008
Trill197.wav,41,68,G# Without octave key (default),0010111000000_0000000000,87,High Eb,1000000000011_0000000000,1.4682022607070413
Trill198.wav,47,71,B Without octave key,0010000000000_0000000000,82,Bb With octave key (side key),1010100000000_0000000001,2.400474897853654
Trill199.wav,39,84,C With octave key,1000100000000_0000000000,85,C# With octave key,1000000000000_0000000000,5.775617341684
Trill200.wav,-1,75,Eb With octave key,1010110000000_1100110000,77,F With octave key,1010110000000_1000000000,5.3070314694828085
Trill201.wav,30,78,F# With octave key (Chromatic),1010110000000_1001000000,90,High F# (side),1000000000111_0010000100,1.0252431362635885
Trill202.wav,42,59,Low B,0010110010000_1100101000,77,F With octave key,1010110000000_1000000000,1.219286227970304
Trill203.wav,39,79,G With octave key,1010110000000_0000000000,81,A With octave key,1010100000000_0000000000,5.045381306088042
Trill204.wav,37,72,C Without octave key,0000100000000_0000000000,75,Eb With octave key,1010110000000_1100110000,4.266500378152321
