Session,Cluster,Note 1 midi,Note 1 name,Note 1 encoding,Note 2 midi,Note 2 encoding,Note 2 encoding
0,27,63,Eb Without octave key,0010110000000_1100110000,77,F With octave key,1010110000000_1000000000
0,-1,58,Low Bb,0010110001000_1100101000,61,Low C#,0010110100000_1100101000
0,114,68,G# Without octave key (default),0010111000000_0000000000,78,F# With octave key (main),1010110000000_0100000000
0,134,75,Eb With octave key,1010110000000_1100110000,89,High F (front),1100100000000_0000000000
0,103,79,G With octave key,1010110000000_0000000000,83,B With octave key,1010000000000_0000000000
0,29,67,F# Without octave key (Chromatic),0010110000000_1001000000,68,G# Without octave key (default),0010111000000_0000000000
0,43,78,F# With octave key (Chromatic),1010110000000_1001000000,88,High E,1000000000011_0000000100
0,111,68,G# Without octave key (default),0010111000000_0000000000,86,High D,1000000000001_0000000000
0,53,62,D Without octave key,0010110000000_1100100000,68,G# Without octave key (default),0010111000000_0000000000
0,27,64,E Without octave key,0010110000000_1100000000,79,G With octave key,1010110000000_0000000000
0,111,68,G Without octave key,0010110000000_0000000000,87,High Eb,1000000000011_0000000000
0,134,76,E With octave key,1010110000000_1100000000,91,High F# (front),1100100000000_0010000000
0,43,78,F# With octave key (main),1010110000000_0100000000,88,High E,1000000000011_0000000100
0,29,67,F# Without octave key (Chromatic),0010110000000_1001000000,69,A Without octave key,0010100000000_0000000000
0,53,58,Low Bb,0010110001000_1100101000,65,F Without octave key,0010110000000_1000000000
0,-1,58,Low Bb,0010110001000_1100101000,59,Low B,0010110010000_1100101000
0,103,81,A With octave key,1010100000000_0000000000,85,C# With octave key,1000000000000_0000000000
0,114,66,F# Without octave key (main),0010110000000_0100000000,76,E With octave key,1010110000000_1100000000
0,27,61,Low C#,0010110100000_1100101000,76,E With octave key,1010110000000_1100000000
0,103,85,C# With octave key,1000000000000_0000000000,89,High F (front),1100100000000_0000000000
0,27,62,D Without octave key,0010110000000_1100100000,77,F With octave key,1010110000000_1000000000
0,109,62,D Without octave key,0010110000000_1100100000,83,B With octave key,1010000000000_0000000000
0,29,63,Eb Without octave key,0010110000000_1100110000,65,F Without octave key,0010110000000_1000000000
